Name,Fold Change,log2(FC)
Valproic acid,2576.1,11.331
Lamotrigine,2525.3,11.302
Meloxicam,830.26,9.6974
10,11-dihydro-10-hydroxycarbamazepine,299.34,8.2257
carbamazepine 10,11-epoxide,287.46,8.1672
Trazodone,234.53,7.8736
Topiramate,0.0046903,-7.7361
febuxostat,0.005241,-7.5759
Clarithromycin,160.23,7.324
2-propyl-2-pentenoate (2-ene-valproate),89.256,6.4799
gliclazide,0.011386,-6.4566
Nicotinic acid,0.015905,-5.9744
etravirine,0.018251,-5.7759
Tramadol,0.019618,-5.6717
O-desmethyltramadol glucuronide,0.021832,-5.5174
O-Desmethyltramadol,0.024097,-5.375
Darunavir,0.028078,-5.1544
X-17137,32.375,5.0168
2-hydroxycarbamazepine,31.971,4.9987
raltegravir,0.032579,-4.9399
rilpivirine,28.184,4.8168
Fluconazole,0.043312,-4.5291
Minocycline,19.11,4.2563
3-hydroxycarbamazepine,18.676,4.2231
Methadone,0.057476,-4.1209
De(carboxymethoxy) cetirizine acetic acid,0.063361,-3.9803
Cimetidine,0.067761,-3.8834
Fexofenadine,14.419,3.8499
desmethylnaproxen sulfate,0.095547,-3.3876
X-25952,10.466,3.3876
3-Hydroxyvalproic acid,10.183,3.3481
Naproxen,0.10697,-3.2247
Allopurinol,8.5944,3.1034
donepezil,7.8751,2.9773
Atazanavir,6.489,2.698
Chlorothiazide,6.3533,2.6675
Doxylamine,6.0817,2.6045
glucuronide of C10H14O2 (4),5.9195,2.5655
Benazepril,0.17169,-2.5421
Efavirenz,0.17556,-2.51
D-Ribosylnicotinate,0.18502,-2.4343
Candesartan,5.401,2.4332
meglumine,0.19034,-2.3934
5-hydroxyvalproate,5.162,2.3679
Guaifenesin,4.95,2.3074
glucuronide of C10H18O2 (3),0.2084,-2.2626
Ureidoisobutyric acid,4.7807,2.2572
Verapamil,0.20979,-2.253
Mycophenolic acid,0.21176,-2.2395
4-ene-Valproic acid,4.6053,2.2033
Carbamazepine,4.3757,2.1295
carboxyibuprofen glucuronide,4.3193,2.1108
X-24973,4.1934,2.0681
Allopurinol riboside,4.158,2.0559
ketopioglitazone,0.24108,-2.0524
ranitidine N-oxide,0.24242,-2.0444
glucuronide of C10H18O2 (2),0.24732,-2.0156
fibrinopeptide B (1-13),4.0062,2.0022
Glipizide,0.2561,-1.9652
Desvenlafaxine,3.7609,1.9111
Valsartan,0.2705,-1.8863
Cetirizine,0.28833,-1.7942
glucuronide of C10H14O2 (7),3.4515,1.7872
Diphenhydramine,3.3789,1.7565
solifenacin,0.30798,-1.6991
Celecoxib,3.1911,1.6741
Carnosine,0.31487,-1.6672
Doxycycline,0.31983,-1.6446
Oxypurinol,3.1238,1.6433
glucuronide of C10H18O2 (8),3.1116,1.6376
X-25383,0.32823,-1.6072
Losartan,0.33467,-1.5792
