source;target;correlation
cis-4-hydroxy-d-proline;phenyl acetate;-0.20868529075465383
cis-4-hydroxy-d-proline;putrescine;-0.3726686534073264
cis-4-hydroxy-d-proline;ribose 1,5-bisphosphate;0.08631912810722152
cis-4-hydroxy-d-proline;gamma-glutamylcysteine;-0.22239905175865438
cis-4-hydroxy-d-proline;taurine;-0.22105368472041775
cis-4-hydroxy-d-proline;tamoxifen;0.20448419375085014
cis-4-hydroxy-d-proline;l-tyrosine;-0.49098937586479985
cis-4-hydroxy-d-proline;9,10-epoxyoctadecenoic acid;-0.2996762329926618
cis-4-hydroxy-d-proline;pyroglutamic acid;-0.026499950092589097
cis-4-hydroxy-d-proline;4-acetamidobutanoate;-0.23630149925898158
cis-4-hydroxy-d-proline;quinate;-0.060939869950425614
cis-4-hydroxy-d-proline;succinic acid;-0.31296519866403827
cis-4-hydroxy-d-proline;n-acetylornithine;-0.15992561792214247
cis-4-hydroxy-d-proline;diacetyl;0.32467486424414127
cis-4-hydroxy-d-proline;trehalose;-0.004206472787363084
cis-4-hydroxy-d-proline;l-n2-(2-carboxyethyl)arginine;-0.08150136629874952
cis-4-hydroxy-d-proline;s-carboxymethyl-l-cysteine;-0.16096006665311877
cis-4-hydroxy-d-proline;4-hydroxycinnamoylagmatine;0.004962949147640117
cis-4-hydroxy-d-proline;12,13-dhome;0.22239922405611406
cis-4-hydroxy-d-proline;l-2,4-diaminobutyric acid;0.2077818862737933
cis-4-hydroxy-d-proline;glyceric acid;-0.24271929481768137
cis-4-hydroxy-d-proline;2-ketobutyric acid;-0.4234150656722813
cis-4-hydroxy-d-proline;capric acid;0.021428229972589637
cis-4-hydroxy-d-proline;se-methylselenocysteine;-0.24027635120392665
cis-4-hydroxy-d-proline;gentisic acid;-0.02919505387564625
cis-4-hydroxy-d-proline;hydroxyindole;-0.14460980634033205
cis-4-hydroxy-d-proline;diaminopimelic acid;0.24395251473775245
cis-4-hydroxy-d-proline;6-methylmercaptopurine;0.2341759941631504
cis-4-hydroxy-d-proline;yamogenin;0.11146846932792255
cis-4-hydroxy-d-proline;gabapentin;0.11060378277872165
cis-4-hydroxy-d-proline;ribitol;-0.07590425315080933
cis-4-hydroxy-d-proline;indolelactic acid;-0.6226174273333135
cis-4-hydroxy-d-proline;2-oxoarginine;0.14883484232883673
cis-4-hydroxy-d-proline;d-glucuronic acid;-0.1780759355712162
cis-4-hydroxy-d-proline;citrulline;-0.19614474687140573
