source;target;correlation
cis-4-hydroxy-d-proline;phenyl acetate;0.24438333153540964
cis-4-hydroxy-d-proline;putrescine;-0.2581500848848575
cis-4-hydroxy-d-proline;ribose 1,5-bisphosphate;0.13437508468257606
cis-4-hydroxy-d-proline;gamma-glutamylcysteine;-0.003315532389693394
cis-4-hydroxy-d-proline;taurine;-0.06108824403430635
cis-4-hydroxy-d-proline;tamoxifen;-0.061945528696760406
cis-4-hydroxy-d-proline;l-tyrosine;0.1832083522275259
cis-4-hydroxy-d-proline;9,10-epoxyoctadecenoic acid;0.13330170440396713
cis-4-hydroxy-d-proline;pyroglutamic acid;0.24850141101521375
cis-4-hydroxy-d-proline;4-acetamidobutanoate;-0.0055036392573285225
cis-4-hydroxy-d-proline;quinate;0.09675531451582421
cis-4-hydroxy-d-proline;succinic acid;0.20122976785233887
cis-4-hydroxy-d-proline;diacetyl;0.1797726316097149
cis-4-hydroxy-d-proline;trehalose;-0.04106496781781413
cis-4-hydroxy-d-proline;l-n2-(2-carboxyethyl)arginine;0.14881718504974628
cis-4-hydroxy-d-proline;s-carboxymethyl-l-cysteine;-0.03051046729050822
cis-4-hydroxy-d-proline;4-hydroxycinnamoylagmatine;0.3270748145232389
cis-4-hydroxy-d-proline;12,13-dhome;0.40506559281436677
cis-4-hydroxy-d-proline;l-2,4-diaminobutyric acid;0.3215163950281255
cis-4-hydroxy-d-proline;glyceric acid;-0.2306330730272828
cis-4-hydroxy-d-proline;2-ketobutyric acid;-0.11558886858884397
cis-4-hydroxy-d-proline;capric acid;0.0036380780159809487
cis-4-hydroxy-d-proline;d-mannose;-0.2907529038650772
cis-4-hydroxy-d-proline;se-methylselenocysteine;0.4358184026675351
cis-4-hydroxy-d-proline;gentisic acid;-0.15505511257748475
cis-4-hydroxy-d-proline;hydroxyindole;0.05706071479484824
cis-4-hydroxy-d-proline;diaminopimelic acid;-0.15505511257748478
cis-4-hydroxy-d-proline;6-methylmercaptopurine;0.33869015508688566
cis-4-hydroxy-d-proline;yamogenin;0.13501245189078412
cis-4-hydroxy-d-proline;gabapentin;-0.17232625630357865
cis-4-hydroxy-d-proline;ribitol;0.11437843657492158
cis-4-hydroxy-d-proline;indolelactic acid;-0.2113509011290353
cis-4-hydroxy-d-proline;2-oxoarginine;-0.14570232394878982
cis-4-hydroxy-d-proline;d-glucuronic acid;-0.0707090781925367
cis-4-hydroxy-d-proline;citrulline;0.0477379360774299
cis-4-hydroxy-d-proline;d-glycero-d-galacto-heptitol;-0.09987525582033213
cis-4-hydroxy-d-proline;3-(2-hydroxyphenyl)propanoic acid;0.0088371128346469
cis-4-hydroxy-d-proline;(r)-5,6-dihydrothymine;0.37200797035869265
cis-4-hydroxy-d-proline;l-malic acid;0.024291531193579626
cis-4-hydroxy-d-proline;mupirocin;0.10162320422090587
cis-4-hydroxy-d-proline;gluconic acid;-0.010572659231736784
cis-4-hydroxy-d-proline;tetrahydrodipicolinate;-0.22661736946867092
cis-4-hydroxy-d-proline;4-quinolinecarboxylic acid;-0.0033573309568788855
cis-4-hydroxy-d-proline;n-acetyl-l-aspartic acid;0.024161053563310077
cis-4-hydroxy-d-proline;ornithine;0.08476436210816359
cis-4-hydroxy-d-proline;retinoyl b-glucuronide;-0.13234160051847854
cis-4-hydroxy-d-proline;prostaglandin f2a;0.016500169317775464
cis-4-hydroxy-d-proline;(2'e,4'z,8e)-colneleic acid;-0.10007992166390427
cis-4-hydroxy-d-proline;l-valine;0.11248599323755618
cis-4-hydroxy-d-proline;l-dopa;0.23838972229604585
cis-4-hydroxy-d-proline;acetylphosphate;-0.15520616034752605
cis-4-hydroxy-d-proline;neocnidilide;0.3375944985955819
cis-4-hydroxy-d-proline;d-galactose;-0.15163532792650442
cis-4-hydroxy-d-proline;2,3-butanediol;0.044906259389564405
cis-4-hydroxy-d-proline;phosphorylcholine;-0.11493318074213922
cis-4-hydroxy-d-proline;n-acetylglutamic acid;0.474120550378312
cis-4-hydroxy-d-proline;l-aspartic acid;-0.14485059879596254
cis-4-hydroxy-d-proline;6-hydroxyhexanoic acid;0.2558999351135672
cis-4-hydroxy-d-proline;erucic acid;-0.10499572284679849
cis-4-hydroxy-d-proline;benzeneacetonitrile;-0.06879748751698511
cis-4-hydroxy-d-proline;2,4-dinitrotoluene;-0.3628076148956428
cis-4-hydroxy-d-proline;sphingosine;0.13020558267789642
cis-4-hydroxy-d-proline;phenylacetylglutamine;0.18378310905816952
cis-4-hydroxy-d-proline;n-acetyl-l-glutamate 5-semialdehyde;0.17625081861060807
cis-4-hydroxy-d-proline;uric acid;-0.11199361969271646
cis-4-hydroxy-d-proline;catechol;-0.20845989781516466
cis-4-hydroxy-d-proline;11-dehydrocorticosterone;-0.27663817299776366
cis-4-hydroxy-d-proline;adenine;0.22580015756508984
cis-4-hydroxy-d-proline;l-threonine;-0.11697932794344391
cis-4-hydroxy-d-proline;hydroxyphenyllactic acid;0.09499804904889095
cis-4-hydroxy-d-proline;2-isopropylmalic acid;0.39871539133032363
cis-4-hydroxy-d-proline;salidroside;0.060575792016442996
cis-4-hydroxy-d-proline;citramalic acid;0.22929094925363566
cis-4-hydroxy-d-proline;choline;0.29159239336628046
cis-4-hydroxy-d-proline;1-aminocyclopropanecarboxylic acid;-0.15505511257748472
cis-4-hydroxy-d-proline;withaferin a;0.047778491335329736
cis-4-hydroxy-d-proline;13,14-dihydro-15-keto-pge2;-0.10207770373983806
cis-4-hydroxy-d-proline;deoxyinosine;0.3808574897323785
cis-4-hydroxy-d-proline;glutaric acid;0.19168292736805334
cis-4-hydroxy-d-proline;n-acetylneuraminic acid;0.264349981518795
cis-4-hydroxy-d-proline;9-oxoode;0.051124283575041
