c1.name,c2.name,c.correlation,c1.KEGG,c2.KEGG
gamma-glutamylcysteine,putrescine,0.5792467110000393,C00669,C00134
l-tyrosine,putrescine,0.500439811171172,C00082,C00134
l-tyrosine,gamma-glutamylcysteine,0.6820073204718431,C00082,C00669
pyroglutamic acid,putrescine,0.7426478138032809,C01879,C00134
pyroglutamic acid,gamma-glutamylcysteine,0.5870262221239109,C01879,C00669
pyroglutamic acid,l-tyrosine,0.5121350081774259,C01879,C00082
succinic acid,putrescine,0.5742839822390299,C00042,C00134
succinic acid,pyroglutamic acid,0.6451619155085793,C00042,C01879
2-ketobutyric acid,putrescine,0.7587080351528209,C00109,C00134
2-ketobutyric acid,gamma-glutamylcysteine,0.7500792155725899,C00109,C00669
2-ketobutyric acid,l-tyrosine,0.533720320083584,C00109,C00082
2-ketobutyric acid,pyroglutamic acid,0.5250888155812734,C00109,C01879
2-ketobutyric acid,succinic acid,0.5568398909922077,C00109,C00042
citrulline,putrescine,0.5570065661144936,C00327,C00134
citrulline,gamma-glutamylcysteine,0.7295997240545059,C00327,C00669
citrulline,pyroglutamic acid,0.6755928492367512,C00327,C01879
citrulline,succinic acid,0.5116810779178916,C00327,C00042
citrulline,2-ketobutyric acid,0.6364131633712966,C00327,C00109
ornithine,l-tyrosine,0.543731791154133,C00077,C00082
ornithine,pyroglutamic acid,0.6657278740295975,C00077,C01879
ornithine,succinic acid,0.7214415424500552,C00077,C00042
l-valine,putrescine,0.5180230978572706,C00183,C00134
l-valine,pyroglutamic acid,0.5786850565515141,C00183,C01879
l-valine,citrulline,0.6237586313390651,C00183,C00327
l-aspartic acid,putrescine,-0.5865092369731093,C00049,C00134
l-aspartic acid,2-ketobutyric acid,-0.6782107158392586,C00049,C00109
n-acetyl-l-glutamate 5-semialdehyde,putrescine,-0.5785949508272183,C01250,C00134
n-acetyl-l-glutamate 5-semialdehyde,gamma-glutamylcysteine,-0.648446838769285,C01250,C00669
n-acetyl-l-glutamate 5-semialdehyde,pyroglutamic acid,-0.6226996618970825,C01250,C01879
n-acetyl-l-glutamate 5-semialdehyde,succinic acid,-0.6332247927675442,C01250,C00042
n-acetyl-l-glutamate 5-semialdehyde,2-ketobutyric acid,-0.8059433838835632,C01250,C00109
n-acetyl-l-glutamate 5-semialdehyde,citrulline,-0.6371313448920792,C01250,C00327
n-acetyl-l-glutamate 5-semialdehyde,l-aspartic acid,0.5047463646658964,C01250,C00049
l-threonine,putrescine,-0.623762700880112,C00188,C00134
l-threonine,gamma-glutamylcysteine,-0.63307862454683,C00188,C00669
l-threonine,pyroglutamic acid,-0.5293845279287785,C00188,C01879
l-threonine,succinic acid,-0.5570514458252537,C00188,C00042
l-threonine,2-ketobutyric acid,-0.6288128631554529,C00188,C00109
l-threonine,citrulline,-0.559830419542365,C00188,C00327
l-threonine,3-(2-hydroxyphenyl)propanoic acid,0.5276778392165753,C00188,C01198
l-threonine,n-acetyl-l-glutamate 5-semialdehyde,0.6162231932744909,C00188,C01250
2-isopropylmalic acid,putrescine,0.8841201000451264,C02504,C00134
2-isopropylmalic acid,gamma-glutamylcysteine,0.6984407375400798,C02504,C00669
2-isopropylmalic acid,l-tyrosine,0.5996312270894648,C02504,C00082
2-isopropylmalic acid,pyroglutamic acid,0.6653397105289853,C02504,C01879
2-isopropylmalic acid,succinic acid,0.5156249763836372,C02504,C00042
2-isopropylmalic acid,2-ketobutyric acid,0.7359507651673264,C02504,C00109
2-isopropylmalic acid,citrulline,0.668094212188953,C02504,C00327
2-isopropylmalic acid,l-valine,0.6178662550703028,C02504,C00183
2-isopropylmalic acid,l-aspartic acid,-0.5440320252888953,C02504,C00049
2-isopropylmalic acid,n-acetyl-l-glutamate 5-semialdehyde,-0.561380409445074,C02504,C01250
2-isopropylmalic acid,l-threonine,-0.5743521918845799,C02504,C00188
l-cysteine,l-valine,-0.5023685084430167,C00097,C00183
l-arginine,putrescine,-0.5153290244435339,C00062,C00134
l-arginine,gamma-glutamylcysteine,-0.6919931473026111,C00062,C00669
l-arginine,2-ketobutyric acid,-0.7006429369587187,C00062,C00109
l-arginine,3-(2-hydroxyphenyl)propanoic acid,0.5060497498981439,C00062,C01198
l-arginine,n-acetyl-l-glutamate 5-semialdehyde,0.6714289345938868,C00062,C01250
l-arginine,l-threonine,0.6551697526265833,C00062,C00188
