"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Label","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"L-Phenylalanine","4127917565","3892871757","4755064242","4961716778","3854100587","5111921833","4811601588","3075722878","3661856310","5210108947","3157831250","5164011732","3679386095","3493422399","3827882078","4361367317","5064369226","4335445706","4326292591","4513461722","5159543709","5119110078","6013364450","6205749492","6257584647","5713593705","7748307508","9873978314","8909350371","5790408061","7825991205","7443626918","8270981354","9261169767","8255909818","15042358174","8049368310","7168226934","8125286269","24930204643"
"L-Tryptophan","2536293836","2185699604","2318685271","2219976922","2445232618","2289635195","2653122809","1989207177","2004360234","2362684435","2021449794","2492077949","2221904261","1842261055","2534699032","2702325522","2338117221","2436072856","2406903145","2174415758","2288269844","2126185721","2068835490","1569501069","2200931776","1612037586","1320322081","2046599064","1531978976","1195126901","2060085748","1634972963","1294691018","1305367385","1553587103","2142979824","1335006343","1620577816","1164143723","1896071269"
"L-Isoleucine","1468354456","1396519301","1603909135","2384525029","1528591538","1822758761","2688644832","679537705.1","1372405178","1650521475","1471146820","1985767423","1702728040","1679247208","1496811694","2114016405","2041840489","1626849341","1875960077","2218567559","2220514768","2062905206","1645053150","1662700498","2074577830","1374880986","2101786626","2702154640","1399324490","959295424.8","1982682168","2614611464","1596581612","1802407943","2371359105","2851625951","2302250735","1919671917","1634492705","4527654342"
"L-Lactic acid","131353806","25153286.11","75296227","97769739.13","69188947.09","98804556.93","80903924.16","63211731.5","59777344.96","77294604.21","40210379.31","50296207.01","42870579.73","45412470.83","44867096.86","10004623.94","9154363.496","8222965.665","34943375.02","8820830.222","6658622.995","6363810.433","24369177.56","18866638.32","29588547.28","5871472.321","21167331.62","22532025.33","5421240.389","6183210.287","6420178.182","28265417.76","23139033.46","5830085.244","5884442.548","6570670.717","6171312.931","23549750.18","23047239.07","16644003.9"
"Pipecolic acid","285505278.4","355323692","272454431","452055740.2","346625371","224469307.8","176662763.8","364255446.7","205595733.7","246472084.5","234061716.5","341365715.2","274840817.1","172352700.1","303125133.5","283629715.9","199579252.2","216403745.9","418273648.4","298407844.3","269030699.9","143546170.9","123208517.3","159534464","185134701.4","148634139.5","121980652.2","115089566.2","82737913.92","74290138.63","273530590.6","96907185.81","130241323.1","83179294.44","97424047.92","114725991.4","71830148.26","79119077.91","58819186.11","130707182.2"
"Gentisic acid","1781614834","1112217073","1817264600","1064822077","2093984734","1107224425","1231521640","3926001328","1051085252","1241501816","1201059934","1277414990","1196206237","1224498936","1213619692","1195335039","1204831668","1235433628","1248739516","1164254873","2049414326","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Hydroquinone","24804573.01","27035555.07","26341238.9","25831045.04","194084264.3","88134476.44","21751882.46","30016449.6","248182137.8","31247116.05","34433424.05","32369132.3","154578134.7","141609852.4","161208277.2","40891754.29","43799865.01","40159121.29","242124476.9","58506888.19","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Creatinine","1026689996","944698313.5","705454370.1","921002070.5","941308485.9","715913841.7","918181772.5","1053985896","1167502790","894358279.6","935782479.6","877527987.2","952183264.2","928807068.1","925178722.5","929409098.4","769783784.9","850124254","700965447.8","1098722133","761337540.3","643590694","536637194","674653286.9","578873688.5","584429664.4","499784852","408052161.4","682285195.7","978952348.4","658970424.8","690378248.7","875726355.6","807523322.3","584056643.6","815044396","551314369","487444000.9","595212502","401228356.8"
"Ketoleucine","20272638.63","26024762.11","9369043.693","37556869.18","14203604.93","12367186.13","18811897.72","10489953.99","16462031","23997137.8","27955962.11","3973819.334","17273462.74","18573222.52","4828271.218","75475321.66","19494067.12","26360682.4","53236171.13","28367754.75","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","91803522.25"
