"","Fold Change","log2(FC)"
"D-Mannose",47942000,25.515
"Hydroquinone",1.6643e-05,-15.875
"Azelaic acid",2.2531e-05,-15.438
"N-Acetylornithine",4.4112e-05,-14.468
"2-Heptanone",5.1714e-05,-14.239
"Kyotorphin",134.67,7.0733
"Alpha-D-Glucose",74.193,6.2132
"Coleonol",0.0161,-5.9568
"1-Aminocyclopropanecarboxylic acid",0.026427,-5.2418
"Ethylmethylacetic acid",21.636,4.4354
"Catechol",0.049397,-4.3394
"Adenine",16.992,4.0868
"Oxaloacetate 4-methyl ester",15.371,3.9421
"Sphinganine",14.849,3.8923
"Gentisic acid",0.067421,-3.8907
"p-Hydroxyphenylacetic acid",13.946,3.8018
"Betonicine",0.072147,-3.7929
"Pyroglutamic acid",13.281,3.7313
"Abrine",0.079284,-3.6568
"Mannitol",0.08504,-3.5557
"D-Glycero-D-galacto-heptitol",11.62,3.5385
"5-Oxoavermectin ''1b'' aglycone",11.575,3.533
"D-Xylitol",11.196,3.4849
"erythro-3-Hydroxy-Ls-aspartate",0.094027,-3.4108
"1-Hydroxy-2-naphthoate",0.094529,-3.4031
"Diisobutyl phthalate",0.095996,-3.3809
"Diaminopimelic acid",0.10019,-3.3191
"9-OxoODE",9.6734,3.274
"Pentadecanoic acid",0.10862,-3.2026
"Glyceric acid",9.1475,3.1934
"Capric acid",9.0795,3.1826
"Salicyluric acid",8.9574,3.1631
"6-Methylmercaptopurine",8.7705,3.1327
"9,10-Epoxyoctadecenoic acid",8.6569,3.1139
"Saccharopine",8.5264,3.0919
"L-Cystine",0.11792,-3.0841
"Erucic acid",0.11837,-3.0786
"Gluconic acid",8.3576,3.0631
"Hydroxyphenyllactic acid",0.12613,-2.9871
"Vanillylmandelic acid",0.13143,-2.9276
"Prostaglandin F2a",7.4079,2.8891
"2-Isopropylmalic acid",7.06,2.8197
"Guanine",0.14241,-2.8118
"(R)-3-Ureidoisobutyrate",0.14366,-2.7993
"Uric acid",0.15487,-2.6909
"1D-Myo-inositol 1,4,5,6-tetrakisphosphate",6.2547,2.6449
"Ornithine",6.1506,2.6207
"Choline",0.16499,-2.5996
"Citrulline",5.9531,2.5736
"L-Cysteine",0.17087,-2.5491
"Phenylacetylglutamine",5.7744,2.5297
"Trehalose",5.7419,2.5215
"Methyl jasmonate",0.17513,-2.5135
"D-Galactose",5.6707,2.5035
"Phenyl acetate",5.5913,2.4832
"Inosine",0.1851,-2.4336
"N-a-Acetylcitrulline",5.3737,2.4259
"L-Tyrosine",5.2034,2.3795
"Pyrrole-2-carboxylic acid",0.19287,-2.3743
"LysoPA(16:0/0:0)",5.1731,2.371
"N-Acetylglutamic acid",5.1629,2.3682
"N-Acetyl-L-aspartic acid",5.1085,2.3529
"Oxoadipic acid",0.1969,-2.3445
"Withaferin A",4.9432,2.3055
"2-Keto-6-acetamidocaproate",0.20285,-2.3016
"cis-4-Hydroxy-D-proline",0.21235,-2.2355
"D-synephrine",4.643,2.215
"Anhalamine",4.6141,2.2061
"gamma-Aminobutyric acid",0.21932,-2.1889
"Thymine",4.4943,2.1681
"L-2-Hydroxyglutaric acid",0.23011,-2.1196
"12,13-DHOME",4.3415,2.1182
"Gabapentin",0.2332,-2.1004
"N-Acetylleucine",0.23337,-2.0993
"4-Acetamidobutanoate",4.2252,2.079
"Yamogenin",0.23672,-2.0787
"Suberic acid",0.23706,-2.0767
"L-Rhamnono-1,4-lactone",0.2392,-2.0637
"Nalbuphine",0.23957,-2.0615
"Phenylacetic acid",0.24211,-2.0463
"Putrescine",4.1028,2.0366
"Succinic acid",4.0613,2.022
"2-Oxoarginine",0.24937,-2.0037
"Taurine",4.0097,2.0035
"4,5-Dihydroorotic acid",3.9527,1.9828
"S-Carboxymethyl-L-cysteine",0.25455,-1.974
"all-trans-Retinoic acid",3.8563,1.9472
"Theobromine",3.8386,1.9406
"Sphingosine",3.8097,1.9297
"Aniline",3.8094,1.9296
"L-Threonine",0.26441,-1.9192
"Mupirocin",3.7699,1.9145
"Sinapyl alcohol",3.7489,1.9065
"L-N2-(2-Carboxyethyl)arginine",3.7061,1.8899
"L-Dopa",3.6044,1.8498
"Citramalic acid",3.5753,1.8381
"5-(Methylthio)-2,3-dioxopentyl phosphate",0.28036,-1.8346
"Deoxyinosine",0.28849,-1.7934
"3-Methylxanthine",3.4613,1.7913
"Tetrahydrodipicolinate",3.4436,1.7839
"L-Arginine",0.29428,-1.7647
"L-Malic acid",3.3941,1.763
"(2'E,4'Z,8E)-Colneleic acid",0.29499,-1.7613
"6-Hydroxyhexanoic acid",3.3761,1.7554
"D-Glucuronic Acid",3.3343,1.7374
"Diacetyl",0.30262,-1.7244
"5-Methylbarbiturate",0.30887,-1.6949
