"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.104,2,0.00383,0.306,0.102
"Galactose metabolism",27,0.702,4,0.00446,0.353,0.102
"Arginine biosynthesis",14,0.364,3,0.00486,0.379,0.102
"Glutathione metabolism",28,0.728,4,0.00511,0.393,0.102
"Arginine and proline metabolism",36,0.936,4,0.0126,0.961,0.202
"Phenylalanine metabolism",8,0.208,2,0.0167,1,0.223
"Starch and sucrose metabolism",18,0.468,2,0.0776,1,0.738
"Pentose and glucuronate interconversions",19,0.494,2,0.0853,1,0.738
"Citrate cycle (TCA cycle)",20,0.52,2,0.0932,1,0.738
"Fructose and mannose metabolism",20,0.52,2,0.0932,1,0.738
"Propanoate metabolism",21,0.546,2,0.101,1,0.738
"Pentose phosphate pathway",23,0.598,2,0.118,1,0.76
"Linoleic acid metabolism",5,0.13,1,0.124,1,0.76
"Alanine, aspartate and glutamate metabolism",28,0.728,2,0.163,1,0.806
"Inositol phosphate metabolism",30,0.78,2,0.182,1,0.806
"Valine, leucine and isoleucine biosynthesis",8,0.208,1,0.19,1,0.806
"Taurine and hypotaurine metabolism",8,0.208,1,0.19,1,0.806
"Glyoxylate and dicarboxylate metabolism",31,0.806,2,0.191,1,0.806
"Sphingolipid metabolism",32,0.832,2,0.201,1,0.806
"Glycine, serine and threonine metabolism",33,0.858,2,0.211,1,0.806
"Ascorbate and aldarate metabolism",9,0.234,1,0.212,1,0.806
"Caffeine metabolism",10,0.26,1,0.232,1,0.844
"Pyrimidine metabolism",39,1.01,2,0.269,1,0.936
"Tyrosine metabolism",42,1.09,2,0.299,1,0.956
"Amino sugar and nucleotide sugar metabolism",42,1.09,2,0.299,1,0.956
"Butanoate metabolism",15,0.39,1,0.328,1,1
"Glycerolipid metabolism",16,0.416,1,0.345,1,1
"Retinol metabolism",17,0.442,1,0.362,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.468,1,0.379,1,1
"Selenocompound metabolism",20,0.52,1,0.411,1,1
"Pyruvate metabolism",23,0.598,1,0.457,1,1
"Glycolysis / Gluconeogenesis",26,0.676,1,0.499,1,1
"Purine metabolism",70,1.82,2,0.552,1,1
"Cysteine and methionine metabolism",33,0.858,1,0.585,1,1
"Drug metabolism - other enzymes",39,1.01,1,0.647,1,1
"Arachidonic acid metabolism",44,1.14,1,0.691,1,1
"Primary bile acid biosynthesis",46,1.2,1,0.708,1,1
"Fatty acid biosynthesis",47,1.22,1,0.715,1,1
"Steroid hormone biosynthesis",87,2.26,1,0.905,1,1
