"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"phenyl acetate","Phenyl acetate","HMDB0040733","31229","C15583","CC(=O)OC1=CC=CC=C1","1"
"putrescine","Putrescine","HMDB0001414","1045","C00134","NCCCCN","1"
"ribose 1,5-bisphosphate","Ribose 1,5-bisphosphate","HMDB0011688","14035695","C01151","O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"gamma-glutamylcysteine","gamma-Glutamylcysteine","HMDB0001049","123938","C00669","N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O","1"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"l-tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"9,10-epoxyoctadecenoic acid","9,10-Epoxyoctadecenoic acid","HMDB0004701","6246154","C14825","CCCCC\C=C/CC1OC1CCCCCCCC(O)=O","1"
"pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"4-acetamidobutanoate","4-Acetamidobutanoic acid","HMDB0003681","18189","C02946","CC(=O)NCCCC(O)=O","1"
"quinate","Quinic acid","HMDB0003072","6508","C00296","O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"succinic acid","Succinic acid","HMDB0000254","1110","C00042","OC(=O)CCC(O)=O","1"
"trehalose","Trehalose","HMDB0000975","7427","C01083","OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"l-n2-(2-carboxyethyl)arginine","L-N2-(2-Carboxyethyl)arginine",NA,"8880","C06655",NA,"1"
"4-hydroxycinnamoylagmatine","4-Hydroxycinnamoylagmatine","HMDB0033460","5280691","C04498","NC(=N)NCCCCNC(=O)\C=C\C1=CC=C(O)C=C1","1"
"12,13-dhome","12,13-DHOME","HMDB0004705","25320870","C14829","CCCCC[C@H](O)[C@@H](O)C\C=C/CCCCCCCC(O)=O","1"
"l-2,4-diaminobutyric acid","L-2,4-diaminobutyric acid","HMDB0006284","134490","C03283","NCC[C@H](N)C(O)=O","1"
"glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"2-ketobutyric acid","2-Ketobutyric acid","HMDB0000005","58","C00109","CCC(=O)C(O)=O","1"
