source;target;correlation
citrulline;ornithine;0.38280308407821795
citrulline;n-acetylglutamic acid;0.37012324767853144
citrulline;l-tyrosine;0.4825218824997653
citrulline;succinic acid;0.5116810779178916
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.003459236481031934
citrulline;phenylacetylglutamine;0.046868698775311496
citrulline;l-phenylalanine;0.1448593814140173
citrulline;putrescine;0.5570065661144935
citrulline;gamma-glutamylcysteine;0.7295997240545059
citrulline;pyroglutamic acid;0.6755928492367512
citrulline;ornithine;0.38280308407821795
citrulline;l-tyrosine;0.4825218824997653
citrulline;quinate;0.4713736620696893
citrulline;l-phenylalanine;0.1448593814140173
citrulline;putrescine;0.5570065661144935
citrulline;4-acetamidobutanoate;0.695537148318473
citrulline;ornithine;0.38280308407821795
citrulline;l-glutamic gamma-semialdehyde;0.2463856396134356
citrulline;d-galactose;0.3769180458778893
citrulline;alpha-d-glucose;0.3653626689923674
citrulline;sucrose;0.02484870827213908
ornithine;n-acetylglutamic acid;0.021179478569608404
ornithine;l-tyrosine;0.5437317911541328
ornithine;succinic acid;0.7214415424500552
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.1480756220927893
ornithine;phenylacetylglutamine;0.18088927011386136
ornithine;l-phenylalanine;0.049118772172686266
ornithine;putrescine;0.4768054282990408
ornithine;gamma-glutamylcysteine;0.31631187000169286
ornithine;pyroglutamic acid;0.6657278740295974
ornithine;l-tyrosine;0.5437317911541328
ornithine;quinate;0.727711073086373
ornithine;l-phenylalanine;0.049118772172686266
ornithine;putrescine;0.4768054282990408
ornithine;4-acetamidobutanoate;0.6331807087054373
ornithine;l-glutamic gamma-semialdehyde;0.34009793135388217
ornithine;d-galactose;0.9999530212615102
ornithine;alpha-d-glucose;0.03151225650996409
ornithine;sucrose;-0.18543525068769565
n-acetylglutamic acid;l-tyrosine;0.28497915937836954
n-acetylglutamic acid;succinic acid;0.26218624501331933
n-acetylglutamic acid;3-(2-hydroxyphenyl)propanoic acid;0.2024635673903492
n-acetylglutamic acid;phenylacetylglutamine;-0.10886426260560693
n-acetylglutamic acid;l-phenylalanine;0.05555096917557899
n-acetylglutamic acid;putrescine;0.28690934654435846
n-acetylglutamic acid;gamma-glutamylcysteine;0.35001480455713424
n-acetylglutamic acid;pyroglutamic acid;-0.0028766975833455976
n-acetylglutamic acid;ornithine;0.021179478569608397
n-acetylglutamic acid;l-tyrosine;0.28497915937836954
n-acetylglutamic acid;quinate;-0.006473911129574313
n-acetylglutamic acid;l-phenylalanine;0.05555096917557899
n-acetylglutamic acid;putrescine;0.28690934654435846
n-acetylglutamic acid;4-acetamidobutanoate;0.25776838426467275
n-acetylglutamic acid;ornithine;0.021179478569608397
n-acetylglutamic acid;l-glutamic gamma-semialdehyde;-0.20988532133536497
n-acetylglutamic acid;d-galactose;0.020264257503738423
n-acetylglutamic acid;alpha-d-glucose;0.28346081441336685
n-acetylglutamic acid;sucrose;0.1981447601719474
l-tyrosine;succinic acid;0.4934864290321711
l-tyrosine;3-(2-hydroxyphenyl)propanoic acid;-0.2102676101974551
l-tyrosine;phenylacetylglutamine;0.15297163566489178
l-tyrosine;l-phenylalanine;-0.05744807017470961
l-tyrosine;putrescine;0.500439811171172
l-tyrosine;gamma-glutamylcysteine;0.6820073204718431
l-tyrosine;pyroglutamic acid;0.5121350081774259
l-tyrosine;ornithine;0.543731791154133
l-tyrosine;quinate;0.3970924257116228
l-tyrosine;l-phenylalanine;-0.05744807017470961
l-tyrosine;putrescine;0.500439811171172
l-tyrosine;4-acetamidobutanoate;0.5840599671966722
l-tyrosine;ornithine;0.543731791154133
l-tyrosine;l-glutamic gamma-semialdehyde;0.06883044015214299
l-tyrosine;d-galactose;0.5402157791723379
l-tyrosine;alpha-d-glucose;0.4093287113425148
l-tyrosine;sucrose;0.22614713933198904
succinic acid;3-(2-hydroxyphenyl)propanoic acid;-0.3146730388260436
succinic acid;phenylacetylglutamine;0.26887555531284574
succinic acid;l-phenylalanine;0.1817142313998937
succinic acid;putrescine;0.5742839822390299
succinic acid;gamma-glutamylcysteine;0.4752154732204063
succinic acid;pyroglutamic acid;0.6451619155085793
succinic acid;ornithine;0.7214415424500552
succinic acid;l-tyrosine;0.4934864290321711
