source;target;correlation
n-acetylornithine;l-aspartic acid;0.3485837363320617
n-acetylornithine;n-acetyl-l-glutamate 5-semialdehyde;0.12577938082023568
n-acetylornithine;l-arginine;0.07825565205714985
n-acetylornithine;l-valine;0.09056059685849743
n-acetylornithine;l-aspartic acid;0.3485837363320617
n-acetylornithine;l-cysteine;-0.22980250266062668
n-acetylornithine;uric acid;-0.15287401231915929
n-acetylornithine;deoxyinosine;0.49125529239400306
n-acetylornithine;guanine;0.2864663841679428
n-acetylornithine;sulfate;-0.14979166047102338
n-acetylornithine;inosine;0.336641093440212
n-acetylornithine;l-valine;0.09056059685849743
n-acetylornithine;l-threonine;0.023622012648253
n-acetylornithine;l-aspartic acid;0.3485837363320617
n-acetylornithine;l-threonine;0.023622012648253
n-acetylornithine;choline;0.3201214090372869
n-acetylornithine;l-cysteine;-0.22980250266062668
n-acetylornithine;cis-4-hydroxy-d-proline;-0.15992561792214258
n-acetylornithine;diaminopimelic acid;-0.4270982376064945
n-acetylornithine;2-oxoarginine;0.11592708918341323
n-acetylornithine;l-aspartic acid;0.3485837363320617
n-acetylornithine;l-threonine;0.023622012648253
n-acetylornithine;l-cysteine;-0.22980250266062668
n-acetylornithine;l-arginine;0.07825565205714985
l-aspartic acid;n-acetyl-l-glutamate 5-semialdehyde;0.5047463646658964
l-aspartic acid;l-arginine;0.28008076952293104
l-aspartic acid;l-valine;-0.28270064501479697
l-aspartic acid;l-cysteine;0.1626539016234937
l-aspartic acid;uric acid;-0.29471167696318035
l-aspartic acid;deoxyinosine;0.5178761427410529
l-aspartic acid;guanine;-0.1429432121779731
l-aspartic acid;sulfate;0.13227467239463658
l-aspartic acid;inosine;0.2427072511079569
l-aspartic acid;l-valine;-0.28270064501479697
l-aspartic acid;l-threonine;0.34191545920976774
l-aspartic acid;l-threonine;0.34191545920976774
l-aspartic acid;choline;0.16177398212762137
l-aspartic acid;l-cysteine;0.1626539016234937
l-aspartic acid;cis-4-hydroxy-d-proline;-0.07742502622133693
l-aspartic acid;diaminopimelic acid;0.05611617737094386
l-aspartic acid;2-oxoarginine;0.09461521192746294
l-aspartic acid;l-threonine;0.34191545920976774
l-aspartic acid;l-cysteine;0.1626539016234937
l-aspartic acid;l-arginine;0.28008076952293104
n-acetyl-l-glutamate 5-semialdehyde;l-arginine;0.6714289345938868
n-acetyl-l-glutamate 5-semialdehyde;l-valine;-0.31851589763983806
