source;target;correlation_healthy;correlation_cancer
choline;2-oxoarginine;0.42864518214308867;-0.18055665397473794
choline;cis-4-hydroxy-d-proline;0.2915923933662804;-0.3965979514214509
choline;diaminopimelic acid;0.42226503681302063;-0.4467139260481736
cis-4-hydroxy-d-proline;2-oxoarginine;-0.14570232394878982;0.14883484232883673
cis-4-hydroxy-d-proline;diaminopimelic acid;-0.15505511257748478;0.24395251473775245
deoxyinosine;2-oxoarginine;-0.06844433908897596;-0.09517241219112459
deoxyinosine;choline;-0.34086430437987586;0.44965728260920185
deoxyinosine;cis-4-hydroxy-d-proline;0.3808574897323785;-0.01820440404341099
deoxyinosine;diaminopimelic acid;-0.08636773784935733;0.014825696553574975
deoxyinosine;guanine;0.05988505689688605;-0.0191266829720042
deoxyinosine;inosine;-0.06732914211620362;0.5091331127054826
deoxyinosine;l-threonine;-0.028586204666629422;0.08218116080650777
deoxyinosine;sulfate;-0.09248609746364503;0.06916550604675228
diaminopimelic acid;2-oxoarginine;0.9931398318818446;0.16519527629028108
guanine;2-oxoarginine;0.061396339948095874;0.33913003460969415
guanine;choline;-0.13779464123634017;-0.2282153808895729
guanine;cis-4-hydroxy-d-proline;0.2254968722695785;0.2616629039842417
guanine;diaminopimelic acid;0.06217116867522403;0.0493571638504016
guanine;inosine;0.02788827071191398;0.2986555502678315
guanine;l-threonine;-0.6934986100834365;0.18354185750343602
guanine;sulfate;-0.03312672729310498;-0.1838564271599147
inosine;2-oxoarginine;-0.05216804832515635;0.2745783142819928
inosine;choline;0.18821599620889962;-0.19280959517570112
inosine;cis-4-hydroxy-d-proline;-0.2721406259210308;0.4100966373179755
inosine;diaminopimelic acid;-0.08482333531956752;0.2775889481987238
inosine;l-threonine;-0.2562482278699215;0.38011084650873084
l-arginine;2-oxoarginine;0.6646241535576526;0.17532661469877445
l-arginine;choline;0.8792444807597803;-0.15433533228891838
l-arginine;cis-4-hydroxy-d-proline;0.25907019762700884;0.45124248107394876
l-arginine;deoxyinosine;-0.22438644152399032;0.32315380362630775
l-arginine;diaminopimelic acid;0.6667463989736511;0.36280727493538
l-arginine;guanine;-0.08201488296121749;0.01821171334969705
l-arginine;inosine;-0.1252026887555574;0.6999912460132098
l-arginine;l-cysteine;0.20405295029174528;-0.14136818976879806
l-arginine;l-threonine;-0.08756648721059819;0.6551697526265832
l-arginine;l-valine;0.6867305903046509;-0.2538971181773334
l-arginine;sulfate;0.22286143358471613;0.2871107602348724
l-arginine;uric acid;-0.16969455155239804;-0.6381178214729265
l-aspartic acid;2-oxoarginine;0.677187272044122;0.09461521192746294
l-aspartic acid;choline;0.19623189918112685;0.16177398212762137
l-aspartic acid;cis-4-hydroxy-d-proline;-0.14485059879596265;-0.07742502622133693
l-aspartic acid;deoxyinosine;-0.07817204239293482;0.5178761427410529
l-aspartic acid;diaminopimelic acid;0.687666539553015;0.05611617737094386
l-aspartic acid;guanine;0.09810135581981726;-0.1429432121779731
l-aspartic acid;inosine;-0.1758102360771046;0.2427072511079569
l-aspartic acid;l-arginine;0.3679209778943936;0.28008076952293104
l-aspartic acid;l-cysteine;0.4021929273720653;0.1626539016234937
l-aspartic acid;l-threonine;-0.13439848614628244;0.34191545920976774
l-aspartic acid;l-valine;0.533293730752484;-0.28270064501479697
l-aspartic acid;n-acetyl-l-glutamate 5-semialdehyde;0.20434174794322496;0.5047463646658964
l-aspartic acid;sulfate;0.022449544420231095;0.13227467239463658
l-aspartic acid;uric acid;-0.13639344782422705;-0.29471167696318035
l-cysteine;2-oxoarginine;0.15408452780672893;-0.7007492657406681
l-cysteine;choline;0.2739403261965711;-0.0679103072837917
l-cysteine;cis-4-hydroxy-d-proline;-0.11441616723047328;0.12121841568863272
l-cysteine;deoxyinosine;-0.07865418299982793;0.08998999787031103
l-cysteine;diaminopimelic acid;0.181172996761699;0.17105316607418386
l-cysteine;guanine;0.03847275596115336;-0.3098545649091519
l-cysteine;inosine;0.13370412665003995;-0.16575622772127693
l-cysteine;l-threonine;-0.22420921076248024;0.07668482410837951
l-cysteine;sulfate;0.5107414126396862;-0.09170198950997686
l-cysteine;uric acid;0.2719334822752127;0.183518473237105
l-threonine;2-oxoarginine;-0.06478604431173304;0.302470580288688
l-threonine;choline;-0.13096496820806722;-0.25964854670483384
l-threonine;cis-4-hydroxy-d-proline;-0.11697932794344389;0.37320505097740936
l-threonine;diaminopimelic acid;-0.03175347975606896;0.4272675170531452
l-valine;2-oxoarginine;0.8457712878468671;0.5906773652178404
l-valine;choline;0.5579766594770166;-0.23839562697518604
l-valine;cis-4-hydroxy-d-proline;0.11248599323755613;0.02456487131871973
l-valine;deoxyinosine;0.026421418532182668;-0.3328366479437656
l-valine;diaminopimelic acid;0.8403552596832226;-0.17500492634434386
l-valine;guanine;0.16390961099907417;0.385185037372936
l-valine;inosine;0.0457049909094612;0.0754618408141458
l-valine;l-cysteine;0.19478852014526202;-0.5023685084430167
l-valine;l-threonine;-0.23709789224013583;-0.3403684403306781
l-valine;sulfate;0.18660197439195733;-0.15554394661603857
l-valine;uric acid;-0.057374616375642735;0.18393901336255633
n-acetyl-l-glutamate 5-semialdehyde;2-oxoarginine;0.29994079618260333;0.22763850294081894
n-acetyl-l-glutamate 5-semialdehyde;choline;0.12797513810745004;-0.13742355768950523
n-acetyl-l-glutamate 5-semialdehyde;cis-4-hydroxy-d-proline;0.17625081861060804;0.22360014246709117
n-acetyl-l-glutamate 5-semialdehyde;deoxyinosine;0.16125771344599868;0.4284483482650738
n-acetyl-l-glutamate 5-semialdehyde;diaminopimelic acid;0.35252475126995814;0.5803328183072748
n-acetyl-l-glutamate 5-semialdehyde;guanine;-0.16315432226121246;0.008043551409304328
n-acetyl-l-glutamate 5-semialdehyde;inosine;-0.4462484834491103;0.672863062590413
n-acetyl-l-glutamate 5-semialdehyde;l-arginine;0.3243013031599597;0.6714289345938868
n-acetyl-l-glutamate 5-semialdehyde;l-cysteine;0.148536358555856;0.08008077278338922
n-acetyl-l-glutamate 5-semialdehyde;l-threonine;0.569565660544772;0.6162231932744909
n-acetyl-l-glutamate 5-semialdehyde;l-valine;0.20733970950468011;-0.31851589763983806
n-acetyl-l-glutamate 5-semialdehyde;sulfate;-0.12716604031088383;-0.0395637004964166
n-acetyl-l-glutamate 5-semialdehyde;uric acid;0.27545186851267345;-0.4366661505336182
n-acetylornithine;2-oxoarginine;;0.11592708918341323
n-acetylornithine;choline;;0.3201214090372869
n-acetylornithine;cis-4-hydroxy-d-proline;;-0.15992561792214258
n-acetylornithine;deoxyinosine;;0.49125529239400306
n-acetylornithine;diaminopimelic acid;;-0.4270982376064945
n-acetylornithine;guanine;;0.2864663841679428
n-acetylornithine;inosine;;0.336641093440212
n-acetylornithine;l-arginine;;0.07825565205714985
n-acetylornithine;l-aspartic acid;;0.3485837363320617
n-acetylornithine;l-cysteine;;-0.22980250266062668
n-acetylornithine;l-threonine;;0.023622012648253
n-acetylornithine;l-valine;;0.09056059685849743
n-acetylornithine;n-acetyl-l-glutamate 5-semialdehyde;;0.12577938082023568
n-acetylornithine;sulfate;;-0.14979166047102338
n-acetylornithine;uric acid;;-0.15287401231915929
sulfate;2-oxoarginine;0.11354348614501691;-0.08820014493875912
sulfate;choline;0.3141042842782568;-0.16023320818969045
sulfate;cis-4-hydroxy-d-proline;-0.001184818692331127;0.19595125250277945
sulfate;diaminopimelic acid;0.0963561463945308;0.32842687061371545
sulfate;inosine;0.43767829140005937;0.15828390274850113
sulfate;l-threonine;-0.15633873259442221;0.01462776431268478
uric acid;2-oxoarginine;-0.031025569619489594;-0.03791892574146612
uric acid;choline;-0.07365393714678711;0.1823569680366449
uric acid;cis-4-hydroxy-d-proline;-0.11199361969271641;-0.395927954960935
uric acid;deoxyinosine;0.1007811948855196;-0.19275310402579207
uric acid;diaminopimelic acid;-0.015619462132249563;-0.06362126127590868
uric acid;guanine;-0.31738054932831183;-0.2568460100159773
uric acid;inosine;0.12599207175212426;-0.5593527167356851
uric acid;l-threonine;0.5566299942719715;-0.4452484646734147
uric acid;sulfate;0.32452702372316317;-0.3057287930125615
