source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;n-acetylglutamic acid;0.15090240319861511;;0.37012324767853144;
citrulline;l-tyrosine;0.494887117722216;;0.4825218824997653;
citrulline;l-tyrosine;0.494887117722216;;0.4825218824997653;
citrulline;l-tyrosine;0.494887117722216;;0.4825218824997653;
citrulline;l-tyrosine;0.494887117722216;;0.4825218824997653;
citrulline;succinic acid;-0.007037576264736657;;0.5116810779178916;
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.03211173007450788;;-0.003459236481031934;
citrulline;phenylacetylglutamine;-0.2653503996756103;;0.046868698775311496;
citrulline;l-phenylalanine;-0.12635529072012383;;0.1448593814140173;
citrulline;l-phenylalanine;-0.12635529072012383;;0.1448593814140173;
citrulline;l-phenylalanine;-0.12635529072012383;;0.1448593814140173;
citrulline;l-phenylalanine;-0.12635529072012383;;0.1448593814140173;
citrulline;putrescine;0.1398945212114675;;0.5570065661144935;
citrulline;putrescine;0.1398945212114675;;0.5570065661144935;
citrulline;putrescine;0.1398945212114675;;0.5570065661144935;
citrulline;putrescine;0.1398945212114675;;0.5570065661144935;
citrulline;gamma-glutamylcysteine;-0.24499451802484015;;0.7295997240545059;
citrulline;pyroglutamic acid;0.4677871241315951;;0.6755928492367512;
citrulline;quinate;0.2510296066720394;;0.4713736620696893;
citrulline;4-acetamidobutanoate;0.22134295333414272;;0.695537148318473;
citrulline;l-glutamic gamma-semialdehyde;0.355546837918103;;0.2463856396134356;
citrulline;d-mannose;0.05373377572052087;;;
citrulline;d-galactose;0.04168166443592448;;0.3769180458778893;
citrulline;alpha-d-glucose;-0.29876668253762045;;0.3653626689923674;
citrulline;sucrose;0.05823152921494146;;0.02484870827213908;
ornithine;n-acetylglutamic acid;0.301477063203687;;0.021179478569608404;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
