source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
citrulline;ornithine;0.6968033895774524;;0.38280308407821795;
citrulline;n-acetylglutamic acid;0.15090240319861511;;0.37012324767853144;
citrulline;l-tyrosine;0.494887118;;0.4825218824997653;
citrulline;succinic acid;-0.007037576;;0.5116810779178916;
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.03211173;;-0.003459236;
citrulline;phenylacetylglutamine;-0.2653504;;0.046868698775311496;
citrulline;l-phenylalanine;-0.126355291;;0.1448593814140173;
citrulline;putrescine;0.1398945212114675;;0.5570065661144935;
citrulline;gamma-glutamylcysteine;-0.244994518;;0.7295997240545059;
citrulline;pyroglutamic acid;0.4677871241315951;;0.6755928492367512;
citrulline;quinate;0.2510296066720394;;0.4713736620696893;
citrulline;4-acetamidobutanoate;0.22134295333414272;;0.695537148;
citrulline;l-glutamic gamma-semialdehyde;0.355546838;;0.2463856396134356;
citrulline;d-mannose;0.053733776;;;
citrulline;d-galactose;0.041681664;;0.3769180458778893;
citrulline;alpha-d-glucose;-0.298766683;;0.3653626689923674;
citrulline;sucrose;0.058231529;;0.024848708;
ornithine;n-acetylglutamic acid;0.301477063;;0.021179478569608404;
ornithine;l-tyrosine;0.5110978695782024;;0.5437317911541328;
ornithine;succinic acid;-0.117634745;;0.7214415424500552;
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.029382769;;-0.148075622;
ornithine;phenylacetylglutamine;-0.180777006;;0.18088927011386136;
ornithine;l-phenylalanine;-0.102851307;;0.049118772172686266;
ornithine;putrescine;-0.117418932;;0.4768054282990408;
ornithine;gamma-glutamylcysteine;0.027414976981493252;;0.31631187000169286;
ornithine;pyroglutamic acid;0.5049951473018127;;0.6657278740295974;
ornithine;quinate;-0.023242069;;0.727711073;
ornithine;4-acetamidobutanoate;-0.103250603;;0.6331807087054373;
ornithine;l-glutamic gamma-semialdehyde;0.3281863604526214;;0.34009793135388217;
ornithine;d-mannose;0.1068719287132504;;;
