source;target;correlation
citrulline;ornithine;0.6968033895774524
citrulline;n-acetylglutamic acid;0.15090240319861511
citrulline;l-aspartic acid;-0.05440347724827786
citrulline;n-acetyl-l-glutamate 5-semialdehyde;0.21090278590950537
citrulline;l-arginine;0.1375231455930137
citrulline;2-ketobutyric acid;-0.06552677234097501
citrulline;l-valine;0.3201824551074862
citrulline;l-threonine;0.011483204389316633
citrulline;2-isopropylmalic acid;0.10971640638086373
citrulline;l-tyrosine;0.494887117722216
citrulline;succinic acid;-0.007037576264736657
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.03211173007450788
citrulline;phenylacetylglutamine;-0.2653503996756103
citrulline;l-phenylalanine;-0.12635529072012383
citrulline;phenylacetic acid;-0.1629277726810285
citrulline;putrescine;0.1398945212114675
citrulline;gamma-glutamylcysteine;-0.24499451802484015
citrulline;pyroglutamic acid;0.4677871241315951
citrulline;l-cysteine;0.10383524863269002
citrulline;quinate;0.2510296066720394
citrulline;l-2,4-diaminobutyric acid;0.06838275703706671
citrulline;glyceric acid;0.22740220951915094
citrulline;choline;0.02155400523694004
citrulline;4-acetamidobutanoate;0.22134295333414272
citrulline;2-oxoarginine;0.28361950208206876
citrulline;l-glutamic gamma-semialdehyde;0.355546837918103
citrulline;uric acid;0.14476864129867476
citrulline;adenine;0.1680988174995639
citrulline;deoxyinosine;-0.1552217882937438
citrulline;guanine;0.19461646733965515
citrulline;sulfate;0.3279685068376849
citrulline;hypoxanthine;-0.1921939588463066
citrulline;inosine;-0.1965781352509124
citrulline;d-mannose;0.05373377572052087
citrulline;d-galactose;0.04168166443592448
citrulline;alpha-d-glucose;-0.29876668253762045
citrulline;sucrose;0.05823152921494146
citrulline;taurine;0.24483582355189817
citrulline;acetylphosphate;0.4825996094326359
ornithine;n-acetylglutamic acid;0.301477063203687
ornithine;l-aspartic acid;-0.1246915759010131
ornithine;n-acetyl-l-glutamate 5-semialdehyde;0.014987645527129804
ornithine;l-arginine;-0.08408197535286943
ornithine;2-ketobutyric acid;-0.027065584609841476
ornithine;l-valine;0.0030850135384076394
ornithine;l-threonine;0.09075595093830244
ornithine;2-isopropylmalic acid;0.2162253540476156
ornithine;l-tyrosine;0.5110978695782024
ornithine;succinic acid;-0.1176347449613724
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.029382769350899403
ornithine;phenylacetylglutamine;-0.1807770062800172
ornithine;l-phenylalanine;-0.10285130738854718
ornithine;phenylacetic acid;-0.13887007396697162
ornithine;putrescine;-0.11741893152709278
ornithine;gamma-glutamylcysteine;0.027414976981493252
ornithine;pyroglutamic acid;0.5049951473018127
ornithine;l-cysteine;0.18772290112654688
ornithine;quinate;-0.023242068613213377
ornithine;l-2,4-diaminobutyric acid;0.07611930667964721
ornithine;glyceric acid;0.07283712764712807
ornithine;choline;-0.14014263882553205
ornithine;4-acetamidobutanoate;-0.10325060314422434
ornithine;2-oxoarginine;-0.05932608643896679
ornithine;l-glutamic gamma-semialdehyde;0.3281863604526214
ornithine;uric acid;0.24891849788243497
ornithine;adenine;0.09290623490400163
ornithine;deoxyinosine;0.103673857519997
ornithine;guanine;-0.06787033071662112
ornithine;sulfate;0.2030834736084408
ornithine;hypoxanthine;-0.20729705846037028
ornithine;inosine;-0.25424152580930875
ornithine;d-mannose;0.1068719287132504
ornithine;d-galactose;0.034031051843918664
ornithine;alpha-d-glucose;-0.29109926643406797
ornithine;sucrose;0.1918953085761312
ornithine;taurine;0.0964776306347038
ornithine;acetylphosphate;0.1594093007581866
n-acetylglutamic acid;l-aspartic acid;0.028727428802035427
