"__glayCluster","__leidenCluster","Betweenness","Closeness","Degree","degree.layout","Eigenvector","name","selected","shared name"
"1",,"0.0","0.024390243902439025","0.0","39","0.0","n-acetylornithine","false","n-acetylornithine"
"2","3","0.0","0.025","1.0","2","0.0","ornithine","false","ornithine"
"3","1","2.0","0.02564102564102564","2.0","3","0.0","n-acetylglutamic acid","false","n-acetylglutamic acid"
"4",,"0.0","0.024390243902439025","0.0","1","0.0","n-acetyl-l-glutamate 5-semialdehyde","false","n-acetyl-l-glutamate 5-semialdehyde"
"5","2","0.0","0.029239766081871343","1.0","2","1.1007487773895264E-4","l-aspartic acid","false","l-aspartic acid"
"5","2","12.0","0.029304029304029304","3.0","4","2.6814639568328857E-5","l-arginine","false","l-arginine"
"2","3","0.0","0.025","1.0","2","0.0","citrulline","false","citrulline"
"5","2","8.0","0.029347028613352897","4.0","5","7.910327985882759E-5","l-valine","false","l-valine"
"6","4","1.0","0.02700877785280216","3.0","4","4.185321360317129E-12","l-threonine","false","l-threonine"
"7","5","0.0","0.02702702702702703","4.0","5","0.447213739156723","2-ketobutyric acid","false","2-ketobutyric acid"
"6","4","0.0","0.026972353337828724","1.0","2","1.0187453094653853E-12","uric acid","false","uric acid"
"8","7","0.0","0.025","1.0","2","0.0","taurine","false","taurine"
"9",,"0.0","0.024390243902439025","0.0","1","0.0","sulfate","false","sulfate"
"10",,"0.0","0.024390243902439025","0.0","1","0.0","sucrose","false","sucrose"
"11","6","0.0","0.025","1.0","2","5.399681234851018E-20","succinic acid","false","succinic acid"
"5","2","0.0","0.029175784099197667","1.0","2","7.131695747375488E-5","quinate","false","quinate"
"12",,"0.0","0.024390243902439025","0.0","1","0.0","pyroglutamic acid","false","pyroglutamic acid"
"7","5","0.0","0.02702702702702703","4.0","5","0.447213739156723","putrescine","false","putrescine"
"13",,"0.0","0.024390243902439025","0.0","1","0.0","phenylacetylglutamine","false","phenylacetylglutamine"
"6","4","7.0","0.02702702702702703","4.0","5","4.3296447156671025E-12","phenylacetic acid","false","phenylacetic acid"
"8","7","0.0","0.025","1.0","2","0.0","l-tyrosine","false","l-tyrosine"
"6","4","0.0","0.02699055330634278","2.0","3","1.993743711792284E-12","l-phenylalanine","false","l-phenylalanine"
"14","8","0.0","0.025","1.0","2","1.231438156633184E-20","l-glutamic gamma-semialdehyde","false","l-glutamic gamma-semialdehyde"
"14","8","0.0","0.025","1.0","2","4.163565145671648E-20","l-cysteine","false","l-cysteine"
"11","6","0.0","0.025","1.0","2","2.790588146736258E-19","l-2,4-diaminobutyric acid","false","l-2,4-diaminobutyric acid"
"7","5","0.0","0.02702702702702703","4.0","5","0.447213739156723","inosine","false","inosine"
"3","1","0.0","0.025624599615631006","1.0","2","0.0","hypoxanthine","false","hypoxanthine"
"6","4","0.0","0.02699055330634278","2.0","3","1.1684762532548909E-11","guanine","false","guanine"
"15",,"0.0","0.024390243902439025","0.0","1","1.8975703230950103E-9","glyceric acid","false","glyceric acid"
"16",,"0.0","0.024390243902439025","0.0","1","6.780474848255835E-8","gamma-glutamylcysteine","false","gamma-glutamylcysteine"
"17",,"0.0","0.024390243902439025","0.0","1","1.4917916901779904E-9","deoxyinosine","false","deoxyinosine"
"7","5","0.0","0.02702702702702703","4.0","4","0.4472135305404663","d-mannose","false","d-mannose"
"7","5","0.0","0.02702702702702703","4.0","5","0.44721344113349915","d-galactose","false","d-galactose"
"5","2","0.0","0.029175784099197667","1.0","2","7.0914626121521E-5","choline","false","choline"
"18",,"0.0","0.024390243902439025","0.0","1","9.595674477225202E-9","alpha-d-glucose","false","alpha-d-glucose"
"19",,"0.0","0.024390243902439025","0.0","1","7.59105667214044E-9","adenine","false","adenine"
"5","2","0.0","0.029261155815654718","2.0","3","3.610551357269287E-5","acetylphosphate","false","acetylphosphate"
"5","2","12.0","0.029304029304029304","3.0","4","2.691894769668579E-5","4-acetamidobutanoate","false","4-acetamidobutanoate"
"20",,"0.0","0.024390243902439025","0.0","1","7.265837041018813E-18","3-(2-hydroxyphenyl)propanoic acid","false","3-(2-hydroxyphenyl)propanoic acid"
"5","2","20.0","0.02936857562408223","5.0","6","2.286583185195923E-5","2-oxoarginine","false","2-oxoarginine"
"3","1","0.0","0.025624599615631006","1.0","2","0.0","2-isopropylmalic acid","false","2-isopropylmalic acid"
