"__glayCluster","__leidenCluster","Betweenness","Closeness","Degree","degree.layout","Eigenvector","name","selected","shared name"
"1",,"0.0","0.024390243902439025","0.0","39","0.0","n-acetylornithine","false","n-acetylornithine"
"2","1","0.0","0.05934718100890208","5.0","6","0.16308113932609558","ornithine","false","ornithine"
"3",,"0.0","0.024390243902439025","0.0","1","0.0","n-acetylglutamic acid","false","n-acetylglutamic acid"
"4","2","76.30079365079365","0.06069802731411229","8.0","9","0.2181411236524582","n-acetyl-l-glutamate 5-semialdehyde","false","n-acetyl-l-glutamate 5-semialdehyde"
"4","2","0.0","0.05891016200294551","1.0","2","0.03720318526029587","l-aspartic acid","false","l-aspartic acid"
"4","2","24.97142857142857","0.06006006006006006","6.0","7","0.13810741901397705","l-arginine","false","l-arginine"
"5","3","16.584920634920632","0.06042296072507553","8.0","9","0.26718130707740784","citrulline","false","citrulline"
"5","3","0.0","0.059084194977843424","3.0","4","0.11909378319978714","l-valine","false","l-valine"
"4","2","5.5777777777777775","0.06015037593984962","6.0","7","0.19210629165172577","l-threonine","false","l-threonine"
"4","2","194.04523809523806","0.061068702290076333","12.0","13","0.3008432984352112","2-ketobutyric acid","false","2-ketobutyric acid"
"4","2","48.0","0.05917159763313609","3.0","4","0.055232614278793335","uric acid","false","uric acid"
"5","3","23.301587301587297","0.06033182503770739","7.0","8","0.2368314117193222","taurine","false","taurine"
"6",,"0.0","0.024390243902439025","0.0","1","0.0","sulfate","false","sulfate"
"7","6","0.0","0.025","1.0","2","8.10555615682329E-12","sucrose","false","sucrose"
"2","1","11.28888888888889","0.059880239520958084","6.0","7","0.18735796213150024","succinic acid","false","succinic acid"
"2","1","18.204761904761906","0.05970149253731343","9.0","10","0.24700605869293213","quinate","false","quinate"
"2","1","71.90079365079366","0.060514372163388806","12.0","13","0.3272610604763031","pyroglutamic acid","false","pyroglutamic acid"
"2","1","19.43809523809524","0.060240963855421686","7.0","8","0.23631495237350464","putrescine","false","putrescine"
"8",,"0.0","0.024390243902439025","0.0","1","0.0","phenylacetylglutamine","false","phenylacetylglutamine"
"4","2","0.0","0.056022408963585436","1.0","2","0.0013012704439461231","phenylacetic acid","false","phenylacetic acid"
"5","3","0.0","0.05856515373352855","2.0","3","0.06195717304944992","l-tyrosine","false","l-tyrosine"
"9","4","0.0","0.025","1.0","2","0.0","l-phenylalanine","false","l-phenylalanine"
"2","1","0.0","0.05847953216374269","2.0","3","0.07083219289779663","l-glutamic gamma-semialdehyde","false","l-glutamic gamma-semialdehyde"
"10","5","0.0","0.025","1.0","2","1.7810957153585605E-9","l-cysteine","false","l-cysteine"
"9","4","0.0","0.025","1.0","2","0.0","l-2,4-diaminobutyric acid","false","l-2,4-diaminobutyric acid"
"4","2","136.0","0.059880239520958084","5.0","6","0.08420746773481369","inosine","false","inosine"
"4","2","48.0","0.057971014492753624","2.0","3","0.010601668618619442","hypoxanthine","false","hypoxanthine"
"11",,"0.0","0.024390243902439025","0.0","1","0.0","guanine","false","guanine"
"2","1","0.0","0.05925925925925926","4.0","5","0.1489037722349167","glyceric acid","false","glyceric acid"
"5","3","34.12777777777778","0.06042296072507553","9.0","10","0.2619447708129883","gamma-glutamylcysteine","false","gamma-glutamylcysteine"
"12",,"0.0","0.024390243902439025","0.0","1","0.0","deoxyinosine","false","deoxyinosine"
"13",,"0.0","0.024390243902439025","0.0","39","0.0","d-mannose","false","d-mannose"
"2","1","0.0","0.05934718100890208","5.0","6","0.16308113932609558","d-galactose","false","d-galactose"
"14",,"0.0","0.024390243902439025","0.0","1","2.0954991214461316E-11","choline","false","choline"
"7","6","0.0","0.025","1.0","2","5.169166483742771E-11","alpha-d-glucose","false","alpha-d-glucose"
"4","2","0.0","0.05714285714285714","1.0","2","0.006906624883413315","adenine","false","adenine"
"15",,"0.0","0.024390243902439025","0.0","1","7.428846426904556E-11","acetylphosphate","false","acetylphosphate"
"5","1","105.88174603174605","0.06097560975609756","14.0","15","0.3910202980041504","4-acetamidobutanoate","false","4-acetamidobutanoate"
"4","2","0.0","0.057803468208092484","1.0","2","0.010444640181958675","3-(2-hydroxyphenyl)propanoic acid","false","3-(2-hydroxyphenyl)propanoic acid"
"10","5","0.0","0.025","1.0","2","9.758703178874839E-9","2-oxoarginine","false","2-oxoarginine"
"5","3","24.37619047619047","0.060514372163388806","9.0","10","0.2961153984069824","2-isopropylmalic acid","false","2-isopropylmalic acid"
