source;target;correlation
citrulline;ornithine;0.6968033895774524
citrulline;n-acetylglutamic acid;0.15090240319861511
citrulline;l-tyrosine;0.494887117722216
citrulline;succinic acid;-0.007037576264736657
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.03211173007450788
citrulline;phenylacetylglutamine;-0.2653503996756103
citrulline;l-phenylalanine;-0.12635529072012383
citrulline;putrescine;0.1398945212114675
citrulline;gamma-glutamylcysteine;-0.24499451802484015
citrulline;pyroglutamic acid;0.4677871241315951
citrulline;ornithine;0.6968033895774524
citrulline;l-tyrosine;0.494887117722216
citrulline;quinate;0.2510296066720394
citrulline;l-phenylalanine;-0.12635529072012383
citrulline;putrescine;0.1398945212114675
citrulline;4-acetamidobutanoate;0.22134295333414272
citrulline;ornithine;0.6968033895774524
citrulline;l-glutamic gamma-semialdehyde;0.355546837918103
citrulline;d-mannose;0.05373377572052087
citrulline;d-galactose;0.04168166443592448
citrulline;alpha-d-glucose;-0.29876668253762045
citrulline;sucrose;0.05823152921494146
ornithine;n-acetylglutamic acid;0.301477063203687
ornithine;l-tyrosine;0.5110978695782024
ornithine;succinic acid;-0.1176347449613724
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.029382769350899403
ornithine;phenylacetylglutamine;-0.1807770062800172
ornithine;l-phenylalanine;-0.10285130738854718
ornithine;putrescine;-0.11741893152709278
ornithine;gamma-glutamylcysteine;0.027414976981493252
ornithine;pyroglutamic acid;0.5049951473018127
ornithine;l-tyrosine;0.5110978695782024
ornithine;quinate;-0.023242068613213377
ornithine;l-phenylalanine;-0.10285130738854718
ornithine;putrescine;-0.11741893152709278
ornithine;4-acetamidobutanoate;-0.10325060314422434
ornithine;l-glutamic gamma-semialdehyde;0.3281863604526214
ornithine;d-mannose;0.1068719287132504
ornithine;d-galactose;0.034031051843918664
ornithine;alpha-d-glucose;-0.29109926643406797
ornithine;sucrose;0.1918953085761312
n-acetylglutamic acid;l-tyrosine;0.37657934268977666
n-acetylglutamic acid;succinic acid;0.5210326374458032
n-acetylglutamic acid;3-(2-hydroxyphenyl)propanoic acid;-0.2318988060740352
n-acetylglutamic acid;phenylacetylglutamine;0.114075412949339
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123
n-acetylglutamic acid;putrescine;0.22458857035109106
n-acetylglutamic acid;gamma-glutamylcysteine;-0.5779065248870701
n-acetylglutamic acid;pyroglutamic acid;0.32526995402298786
n-acetylglutamic acid;ornithine;0.30147706320368706
n-acetylglutamic acid;l-tyrosine;0.37657934268977666
n-acetylglutamic acid;quinate;-0.1210814838668754
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123
n-acetylglutamic acid;putrescine;0.22458857035109106
n-acetylglutamic acid;4-acetamidobutanoate;-0.2371044535033256
n-acetylglutamic acid;ornithine;0.30147706320368706
n-acetylglutamic acid;l-glutamic gamma-semialdehyde;-0.26072806753808087
n-acetylglutamic acid;d-mannose;-0.12113587011769933
n-acetylglutamic acid;d-galactose;-0.0395013210805032
n-acetylglutamic acid;alpha-d-glucose;-0.12738263542806713
n-acetylglutamic acid;sucrose;-0.10729378766437676
l-tyrosine;succinic acid;0.27749957511050644
l-tyrosine;3-(2-hydroxyphenyl)propanoic acid;0.13437389668605462
l-tyrosine;phenylacetylglutamine;-0.18233809454503824
l-tyrosine;l-phenylalanine;0.39687115478343815
l-tyrosine;putrescine;0.06078389727068432
l-tyrosine;gamma-glutamylcysteine;-0.0946998923606058
l-tyrosine;pyroglutamic acid;0.5583236991837481
l-tyrosine;ornithine;0.5110978695782025
l-tyrosine;quinate;0.3491302006158239
