source;target;correlation_healthy;correlation_cancer
3-(2-hydroxyphenyl)propanoic acid;4-acetamidobutanoate;-0.21488902768634963;-0.07146120921495987
3-(2-hydroxyphenyl)propanoic acid;alpha-d-glucose;-0.11149092024571017;-0.11318746992224085
3-(2-hydroxyphenyl)propanoic acid;d-galactose;-0.23847702162081796;-0.1510661519600744
3-(2-hydroxyphenyl)propanoic acid;d-mannose;-0.18279246116922318;
3-(2-hydroxyphenyl)propanoic acid;gamma-glutamylcysteine;0.25553539179845425;-0.1566381166056438
3-(2-hydroxyphenyl)propanoic acid;l-glutamic gamma-semialdehyde;0.37170663002659415;0.19173514431384986
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.2583920900042677;0.21183181629505793
3-(2-hydroxyphenyl)propanoic acid;phenylacetylglutamine;-0.3091139557500933;-0.19083209525270328
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.39514113025305064;-0.151385867678205
3-(2-hydroxyphenyl)propanoic acid;pyroglutamic acid;0.14340212957638565;-0.016423742313437132
3-(2-hydroxyphenyl)propanoic acid;quinate;0.03209815782743658;-0.117376404509651
3-(2-hydroxyphenyl)propanoic acid;sucrose;0.3021674753683128;-0.2684637655682566
4-acetamidobutanoate;alpha-d-glucose;0.08174987240290447;0.34890058638710597
4-acetamidobutanoate;d-galactose;0.3640430461301715;0.6297521747361441
4-acetamidobutanoate;d-mannose;0.39499407260495556;
4-acetamidobutanoate;l-glutamic gamma-semialdehyde;-0.03477298824703995;0.5121781973680921
4-acetamidobutanoate;sucrose;-0.2971922832506251;-0.06023060000969727
alpha-d-glucose;sucrose;-0.122622595593342;0.6579215595946815
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.03211173007450788;-0.003459236481031934
citrulline;4-acetamidobutanoate;0.22134295333414272;0.695537148318473
citrulline;alpha-d-glucose;-0.29876668253762045;0.3653626689923674
citrulline;d-galactose;0.04168166443592448;0.3769180458778893
citrulline;d-mannose;0.05373377572052087;
citrulline;gamma-glutamylcysteine;-0.24499451802484015;0.7295997240545059
citrulline;l-glutamic gamma-semialdehyde;0.355546837918103;0.2463856396134356
citrulline;l-phenylalanine;-0.12635529072012383;0.1448593814140173
citrulline;l-tyrosine;0.494887117722216;0.4825218824997653
citrulline;n-acetylglutamic acid;0.15090240319861511;0.37012324767853144
citrulline;ornithine;0.6968033895774524;0.38280308407821795
citrulline;phenylacetylglutamine;-0.2653503996756103;0.046868698775311496
citrulline;putrescine;0.1398945212114675;0.5570065661144935
citrulline;pyroglutamic acid;0.4677871241315951;0.6755928492367512
citrulline;quinate;0.2510296066720394;0.4713736620696893
citrulline;succinic acid;-0.007037576264736657;0.5116810779178916
citrulline;sucrose;0.05823152921494146;0.02484870827213908
d-galactose;alpha-d-glucose;0.5360140371798598;0.029571268796658844
d-galactose;sucrose;0.04071785846574037;-0.18464864959246488
d-mannose;alpha-d-glucose;0.5407777969002706;
d-mannose;d-galactose;0.9362536629356587;
d-mannose;sucrose;0.04146551518209171;
gamma-glutamylcysteine;4-acetamidobutanoate;-0.009721416562531665;0.6769746843283464
gamma-glutamylcysteine;alpha-d-glucose;0.057041643173458056;0.31681390958530936
gamma-glutamylcysteine;d-galactose;0.029952356799071555;0.31181827068839196
gamma-glutamylcysteine;d-mannose;0.08384450268718492;
gamma-glutamylcysteine;l-glutamic gamma-semialdehyde;0.1796204724898524;0.08694172493802695
gamma-glutamylcysteine;pyroglutamic acid;-0.09201360053389208;0.5870262221239109
gamma-glutamylcysteine;quinate;-0.046127625133596036;0.4519686407571955
gamma-glutamylcysteine;sucrose;0.3116406677611672;0.120581700040488
l-glutamic gamma-semialdehyde;alpha-d-glucose;-0.1221677402571821;-0.07322090003486602
l-glutamic gamma-semialdehyde;d-galactose;-0.23602029366975746;0.33646075188641783
l-glutamic gamma-semialdehyde;d-mannose;-0.15035075544720608;
l-glutamic gamma-semialdehyde;sucrose;-0.006784579287764504;-0.3492393128796788
