database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L80
CHEBI:17295	C9H11NO2	N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	L-Phenylalanine	166.0860043		[M+H]+		337.399	9606	Homo sapiens										5159543709	5119110078	6013364450	6205749492	6257584647	5713593705	7748307508	9873978314	8909350371	5790408061	7825991205	7443626918	8270981354	9261169767	8255909818	15042358174	8049368310	7168226934	8125286269	24930204643	3914759851	3848325057	7604873195	3862907515	3827815747	4479261495	7579835919	3684040002	4904143300	6875925767	8091839148	4489536878	7335356043	4859054783	4690630622	5856788607	4090069357	4601253851	4151588679	5646128936	4790568759	4349661011	4499621214	5510097747	4953249604	3569004323	4901653062	3938380020	3787181360	3675874629	4228314539	4376302004	3955136024	6912315273	5819664591	5080239228	8851254857	6055652689	5059030731	6218334951	4127917565	3892871757	4755064242	4961716778	3854100587	5111921833	4811601588	3075722878	3661856310	5210108947	3157831250	5164011732	3679386095	3493422399	3827882078	4361367317	5064369226	4335445706	4326292591	4513461722
CHEBI:16828	C11H12N2O2	N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	L-Tryptophan	205.0974668		[M+H]+		394.5985	9606	Homo sapiens										2288269844	2126185721	2068835490	1569501069	2200931776	1612037586	1320322081	2046599064	1531978976	1195126901	2060085748	1634972963	1294691018	1305367385	1553587103	2142979824	1335006343	1620577816	1164143723	1896071269	2160189270	1822679455	2230074012	1808455386	2838504097	2444821684	3245987682	1857708545	2087630172	2157978349	2582625303	2073531614	2324463479	2620040476	1798255021	2518754061	1631692990	2761154552	1778247438	2408093810	2040682552	2097568091	1633571742	2427818071	2646998421	1538599689	2499151784	1794097185	1775673495	1938532298	1679023247	2009395358	1728815470	2196086086	1974385276	2494946818	3087785572	2948425416	1668503843	2572134713	2536293836	2185699604	2318685271	2219976922	2445232618	2289635195	2653122809	1989207177	2004360234	2362684435	2021449794	2492077949	2221904261	1842261055	2534699032	2702325522	2338117221	2436072856	2406903145	2174415758
CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine	132.1017542		[M+H]+		198.032	9606	Homo sapiens										2220514768	2062905206	1645053150	1662700498	2074577830	1374880986	2101786626	2702154640	1399324490	959295424.8	1982682168	2614611464	1596581612	1802407943	2371359105	2851625951	2302250735	1919671917	1634492705	4527654342	2314848483	1596505951	2961645109	1933260164	1520233997	2030080630	3044345714	1015817790	2067727917	2692160287	4144572947	1806293027	3651835246	438015671.8	452286363.4	1916848864	1841929006	1697052855	2149723231	1560677297	1098779277	2222947266	1631855112	2682133121	2458509418	3102425718	3068413494	2878040594	1702470207	2627706532	2410445159	2777732850	2236157710	3889849462	2569084629	3218371368	6234236505	1149450307	2099775992	2605145216	1468354456	1396519301	1603909135	2384525029	1528591538	1822758761	2688644832	679537705.1	1372405178	1650521475	1471146820	1985767423	1702728040	1679247208	1496811694	2114016405	2041840489	1626849341	1875960077	2218567559
CHEBI:422	C3H6O3	C[C@H](O)C(O)=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1	L-Lactic acid	90.97718662		[M+H]+		62.94975	9606	Homo sapiens										6658622.995	6363810.433	24369177.56	18866638.32	29588547.28	5871472.321	21167331.62	22532025.33	5421240.389	6183210.287	6420178.182	28265417.76	23139033.46	5830085.244	5884442.548	6570670.717	6171312.931	23549750.18	23047239.07	16644003.9	9747253.785	32204753.88	30146434.24	34482096.51	46247562.37	39417632.5	54662056.13	50816974.72	50970553.46	12480041.39	12594354.43	57454109.79	16173564.21	56792325.77	19353615.26	20582030.5	20398135.01	22306850.52	25399662.41	148747761.5	4109909.174	12115293.78	9558210.986	9080820.409	6786812.295	7228882.177	8167378.82	6700482.569	1606606.87	5449911.796	5349899.477	5005164.121	4738164.325	5201929.922	7616963.923	8544782.579	12138907.68	14777241.75	25030262.51	76364874.9	131353806	25153286.11	75296227	97769739.13	69188947.09	98804556.93	80903924.16	63211731.5	59777344.96	77294604.21	40210379.31	50296207.01	42870579.73	45412470.83	44867096.86	10004623.94	9154363.496	8222965.665	34943375.02	8820830.222
CHEBI:17964	C6H11NO2	OC(=O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)	Pipecolic acid	130.0870077		[M+H]+		139.925	9606	Homo sapiens										269030699.9	143546170.9	123208517.3	159534464	185134701.4	148634139.5	121980652.2	115089566.2	82737913.92	74290138.63	273530590.6	96907185.81	130241323.1	83179294.44	97424047.92	114725991.4	71830148.26	79119077.91	58819186.11	130707182.2	160025431.3	216148876.1	250558001	159639864.7	163141263.7	303688869.9	313315621.6	166452152.9	314477049.1	163068973.3	224530859.1	179668871.2	203427509.4	129449763.5	279285885.3	190446411.6	202971208.5	175370132.3	288897332.6	215338545.9	403736725.6	633335276.1	12334299100	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	21018078658	691833912.7	903714017.5	289019859.9	285505278.4	355323692	272454431	452055740.2	346625371	224469307.8	176662763.8	364255446.7	205595733.7	246472084.5	234061716.5	341365715.2	274840817.1	172352700.1	303125133.5	283629715.9	199579252.2	216403745.9	418273648.4	298407844.3
CHEBI:17189	C7H6O4	OC(=O)c1cc(O)ccc1O	InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)	Gentisic acid	154.9896062		[M+H]+		793.18	9606	Homo sapiens										2049414326	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	362843363.7	1497440989	958370552.1	910335181.8	328807215.8	924080577.3	229908960.5	900130192.7	868112950.2	988347445.6	1069980259	212636962.5	1438825264	392593052.6	725014534.3	1284870594	414440022.5	1880744845	1061557240	1938959713	686047198.1	929339071.4	733933939.5	715675238.9	1772035634	734562272.2	732806773.3	747347869.9	831238301.9	803433172.9	808340702.4	467664178.6	855333508.1	848175713.7	2748423480	919416214.6	981591261.9	1218843877	983747099.6	1071038093	1781614834	1112217073	1817264600	1064822077	2093984734	1107224425	1231521640	3926001328	1051085252	1241501816	1201059934	1277414990	1196206237	1224498936	1213619692	1195335039	1204831668	1235433628	1248739516	1164254873
CHEBI:17594	C6H6O2	Oc1ccc(O)cc1	InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H	Hydroquinone	110.0203413		[M]+		679.364	9606	Homo sapiens										1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	147335456.5	439039152.4	159568272.9	1091305987	578922367.2	574075864.2	160588380.2	562240092.2	176043032.6	756647854.7	184207731.3	829610017.6	4397727015	851366234.8	225435990.1	1207296186	984504739.7	813216516.7	1219570603	1150105102	22507892.2	76626149.96	14763099.74	56231882.85	12977287.83	103629414.3	45615091.88	52361183.05	50744738.31	8984535.308	46809402.91	8370535.223	40964726.39	41400154.36	45171310.81	57220851.07	10355716.04	78497761.5	20442635.01	29007316.75	24804573.01	27035555.07	26341238.9	25831045.04	194084264.3	88134476.44	21751882.46	30016449.6	248182137.8	31247116.05	34433424.05	32369132.3	154578134.7	141609852.4	161208277.2	40891754.29	43799865.01	40159121.29	242124476.9	58506888.19
CHEBI:16737	C4H7N3O	CN1CC(=O)NC1=N	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	Creatinine	114.066388		[M+H]+		92.6998	9606	Homo sapiens										761337540.3	643590694	536637194	674653286.9	578873688.5	584429664.4	499784852	408052161.4	682285195.7	978952348.4	658970424.8	690378248.7	875726355.6	807523322.3	584056643.6	815044396	551314369	487444000.9	595212502	401228356.8	1249747365	881139112.7	783292155.7	1110378201	1014473092	1107907387	815233711.6	910432982.5	737376351.9	939657462.4	919250799.7	899926743.8	1262191635	691739910.4	1008428285	764235849.2	873100061.4	936096890.7	1024239245	812122635.3	999890024.1	768454923.6	822542570	1116956138	1336415433	988286515.3	1012196648	1050833907	1004807995	1061661756	937630249.1	1137144531	1282974582	943476457.6	1185474976	1498881477	1061456989	1151044117	1221301202	1434284233	1026689996	944698313.5	705454370.1	921002070.5	941308485.9	715913841.7	918181772.5	1053985896	1167502790	894358279.6	935782479.6	877527987.2	952183264.2	928807068.1	925178722.5	929409098.4	769783784.9	850124254	700965447.8	1098722133
CHEBI:48430	C6H10O3	CC(C)CC(=O)C(O)=O	InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	Ketoleucine	130.5335426		[M+H]+		765.729	9606	Homo sapiens										1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	1046.65582	91803522.25	227894229.3	39610740.75	25785852.68	19374317.23	117255721.2	23981601.05	119886427.3	25631386.1	28284876.45	21358843.41	25268466.06	112659917.4	17910212.02	27466775.93	90984339.58	80919115.46	172168824.3	19903174.38	33999548.57	30103790.93	188858382.9	27149760.34	30165903.82	34908993.24	45721506.36	398829621.5	46008189.14	292092471.3	150983918.2	169527809.3	88606650.41	18900333.72	47439877.89	201788440.4	66207103.24	8608144.537	6394125.456	4607845.753	26299242	15274824.09	20272638.63	26024762.11	9369043.693	37556869.18	14203604.93	12367186.13	18811897.72	10489953.99	16462031	23997137.8	27955962.11	3973819.334	17273462.74	18573222.52	4828271.218	75475321.66	19494067.12	26360682.4	53236171.13	28367754.75
CHEBI:30746	C7H6O2	OC(=O)c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)	Benzoate	123.0444383		[M+H]+		193.789	9606	Homo sapiens										502057449.3	449304977	458669589.6	317109191.6	561061824.2	418641712.6	431700253.4	499994435.9	378163403.4	345558126.7	515306545.2	521426836	565479177.5	464220771	392206503.2	670573161.4	387330250	396314312.2	264271958.8	582968384.9	371838838.7	386338444.1	510016208.9	288080016.8	456093714.2	281437875.3	523112799.5	301598716.7	322175736	469535431.1	491020078.4	384860252.6	470326248.6	374776021.5	486089486	509355039.4	286779330.6	581855214.9	438584646.7	521907757.7	367976621.8	388685916.8	420536680.1	602683614	444364626.4	457839881	506182451.4	615156871.1	443060264.2	529033371.2	468962640.1	490012415.7	379328729.3	722821951.1	515272519.5	553612533.3	581962998.3	549083418.6	386170433.7	458778903.6	471555846.5	143697410.8	418645095.6	171228289.1	300764627.6	371979764.6	596157634	112609019.5	475850262.4	364485371.1	307019108	176674721.1	353594625.4	305229032.6	322180517.5	435205662.1	440559354.6	336006465.6	406780085.9	356524381.5
