"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Label","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"L-Phenylalanine","-0.100319878","-0.100874585","-0.090134878","-0.087023143","-0.111629705","-0.066785707","-0.084802806","-0.121386527","-0.119854650","-0.060874591","-0.130908200","-0.080883040","-0.115349779","-0.116708240","-0.100363382","-0.098888160","-0.077121307","-0.106802527","-0.117647762","-0.092049970","-0.081169959","-0.058476098","-0.034697729","-0.006223524","-0.023715477","-0.005709311"," 0.090796877"," 0.106987046"," 0.091928702"," 0.017839360"," 0.038042868"," 0.078160650"," 0.094390354"," 0.103807962"," 0.112181767"," 0.273915328"," 0.099930353"," 0.087546996"," 0.125780873"," 0.869091800"
"L-Tryptophan"," 0.2599970506"," 0.0863325511","-0.0029841664","-0.1021975824"," 0.1305661621"," 0.1419409332"," 0.2921311450","-0.0035676876","-0.2353770941"," 0.2360692679","-0.1835117600"," 0.0993460079","-0.0157100021","-0.2430024144"," 0.4082658345"," 0.2998989955"," 0.0696714448","-0.0014172813","-0.1791902267","-0.0475607568","-0.0463849357"," 0.1034204640"," 0.0198540200","-0.2319519226"," 0.1606492792","-0.0632504499","-0.2549650071"," 0.1383948453","-0.2369924225","-0.3613747996"," 0.1379737944"," 0.0762837575","-0.3541012059","-0.4484065310","-0.0009391862"," 0.2128269580","-0.2519012079"," 0.1838237642","-0.3442531039"," 0.5515934690"
"L-Isoleucine","-0.116010630","-0.115136483","-0.108701688"," 0.003012516","-0.114377997","-0.047551228"," 0.067775873","-0.231741568","-0.144943431","-0.070849885","-0.123929063","-0.054472492","-0.084562802","-0.077929665","-0.092706931","-0.026593565","-0.031454722","-0.116881226","-0.107051673","-0.002927389","-0.019748085"," 0.011050642","-0.068513097","-0.031032046"," 0.012163748","-0.062998910"," 0.122378285"," 0.151741213","-0.076195144","-0.130788419"," 0.015189029"," 0.236991508","-0.010397016"," 0.002813513"," 0.185172620"," 0.176717797"," 0.163005134"," 0.111398946"," 0.039825898"," 0.768258432"
"L-Lactic acid"," 0.762145116","-0.075302739"," 0.280462926"," 0.436572880"," 0.247324573"," 0.533289999"," 0.340924892"," 0.268090360"," 0.160892756"," 0.367308617"," 0.022502028"," 0.087346547"," 0.047404072"," 0.081144193"," 0.099049452","-0.210817123","-0.215933831","-0.228322548","-0.060558079","-0.218377861","-0.237854884","-0.231701183","-0.078580547","-0.106278694","-0.029073372","-0.226032706","-0.049737373","-0.078436614","-0.234273632","-0.216524487","-0.228266834"," 0.029389404","-0.041175764","-0.230323705","-0.221089333","-0.226796860","-0.218726493","-0.004607197","-0.012589825","-0.082466131"
"Pipecolic acid"," 0.20641926"," 0.47662237"," 0.12083415"," 0.60934822"," 0.35669865"," 0.04891780","-0.13719465"," 0.55401510","-0.07301317"," 0.13327359"," 0.02603590"," 0.30551818"," 0.15547095","-0.12709759"," 0.33100251"," 0.16485692","-0.06683674","-0.06808564"," 0.37047971"," 0.22680933"," 0.10089334","-0.18085064","-0.25670218","-0.07689261","-0.04485090","-0.06856060","-0.13810976","-0.25232802","-0.34925716","-0.33386363"," 0.29649674","-0.24524368","-0.13193746","-0.34793005","-0.24077354","-0.25577597","-0.35360705","-0.29664690","-0.39065178","-0.04748300"
"Gentisic acid"," 0.23764608"," 0.09687183"," 0.22228068"," 0.05357625"," 0.29410530"," 0.09160245"," 0.10225656"," 0.82503525"," 0.05350805"," 0.12983597"," 0.09333796"," 0.10090691"," 0.09581173"," 0.11307052"," 0.12801936"," 0.09026382"," 0.09768237"," 0.08232501"," 0.06000257"," 0.08911219"," 0.26707839","-0.17496474","-0.17496475","-0.17496472","-0.17496475","-0.17496469","-0.17496467","-0.17496473","-0.17496471","-0.17496466","-0.17496473","-0.17496467","-0.17496469","-0.17496471","-0.17496467","-0.17496473","-0.17496467","-0.17496465","-0.17496465","-0.17496464"
"Hydroquinone","-0.065870899","-0.049870518","-0.065620901","-0.069587640"," 0.633557528"," 0.220967967","-0.081592528","-0.030633089"," 0.827647149","-0.030152587","-0.029771572","-0.042776193"," 0.476258885"," 0.445112257"," 0.573677943","-0.004166692"," 0.011373764","-0.017324816"," 0.672161203"," 0.073636719","-0.172352851","-0.172352113","-0.172352217","-0.172351637","-0.172352126","-0.172351158","-0.172350722","-0.172351821","-0.172351524","-0.172350589","-0.172351856","-0.172350733","-0.172351052","-0.172351530","-0.172350698","-0.172351849","-0.172350778","-0.172350283","-0.172350330","-0.172350112"
"Creatinine"," 0.184213450"," 0.152292901","-0.203415247","-0.001802132"," 0.059370183","-0.119228375"," 0.040009411"," 0.326562096"," 0.258447022"," 0.099785005"," 0.050937066","-0.039659925"," 0.081069134"," 0.094714724"," 0.152666216"," 0.037858030","-0.110693820","-0.097484485","-0.306915010"," 0.237269162","-0.157002646","-0.161306859","-0.300461865","-0.047920387","-0.239224698","-0.097399625","-0.164259715","-0.409924351","-0.019688809"," 0.590075649","-0.102622703"," 0.121581950"," 0.334173102"," 0.144273273","-0.033766240"," 0.092064168","-0.093828436","-0.131739922"," 0.035490011","-0.254507302"
"Ketoleucine"," 0.039406320"," 0.090246026","-0.041384313"," 0.142135042","-0.006781916","-0.013017262"," 0.025355087","-0.022342158"," 0.005323082"," 0.075926028"," 0.086715619","-0.077700252"," 0.015448382"," 0.029453473","-0.067102982"," 0.407252243"," 0.030750083"," 0.063665802"," 0.201845965"," 0.092495088","-0.103886798","-0.103885583","-0.103885754","-0.103884799","-0.103885604","-0.103884010","-0.103883292","-0.103885101","-0.103884614","-0.103883074","-0.103885159","-0.103883311","-0.103883835","-0.103884623","-0.103883253","-0.103885147","-0.103883384","-0.103882569","-0.103882648"," 0.896113202"
