source;target;correlation
n-acetylornithine;citrulline;-0.14657088015732128
n-acetylornithine;ornithine;0.20789946375589916
n-acetylornithine;n-acetylglutamic acid;-0.18725589945531074
n-acetylornithine;l-aspartic acid;0.3485837363320617
n-acetylornithine;n-acetyl-l-glutamate 5-semialdehyde;0.12577938082023568
n-acetylornithine;l-arginine;0.07825565205714985
n-acetylornithine;2-ketobutyric acid;-0.23396224335832388
n-acetylornithine;l-valine;0.09056059685849743
n-acetylornithine;l-threonine;0.023622012648253
n-acetylornithine;2-isopropylmalic acid;0.047485590880635364
n-acetylornithine;l-tyrosine;0.24784760768384415
n-acetylornithine;succinic acid;0.08940741181832652
n-acetylornithine;3-(2-hydroxyphenyl)propanoic acid;0.13844574777152713
n-acetylornithine;phenylacetylglutamine;-0.375845293272878
n-acetylornithine;l-phenylalanine;-0.12572945842633015
n-acetylornithine;phenylacetic acid;0.007613248830635493
n-acetylornithine;putrescine;0.02577034647777866
n-acetylornithine;gamma-glutamylcysteine;-0.13241437989834698
n-acetylornithine;pyroglutamic acid;0.1748858866218782
n-acetylornithine;l-cysteine;-0.22980250266062668
n-acetylornithine;quinate;0.09424104031202865
n-acetylornithine;l-2,4-diaminobutyric acid;-0.12084836865872337
n-acetylornithine;glyceric acid;-0.10887209364654392
n-acetylornithine;choline;0.3201214090372869
n-acetylornithine;4-acetamidobutanoate;0.08186194941592193
n-acetylornithine;2-oxoarginine;0.11592708918341323
n-acetylornithine;l-glutamic gamma-semialdehyde;0.2703511978426431
n-acetylornithine;uric acid;-0.15287401231915929
n-acetylornithine;adenine;-0.04658774898308619
n-acetylornithine;deoxyinosine;0.49125529239400306
n-acetylornithine;guanine;0.2864663841679428
n-acetylornithine;sulfate;-0.14979166047102338
n-acetylornithine;hypoxanthine;0.3973013605743039
n-acetylornithine;inosine;0.336641093440212
n-acetylornithine;d-galactose;0.20928305468112338
n-acetylornithine;alpha-d-glucose;-0.16380729186109227
n-acetylornithine;sucrose;-0.09617878427947771
n-acetylornithine;taurine;-0.014692983902549132
n-acetylornithine;acetylphosphate;-0.1334488307247584
citrulline;ornithine;0.38280308407821795
citrulline;n-acetylglutamic acid;0.37012324767853144
citrulline;l-aspartic acid;-0.4699274659065593
citrulline;n-acetyl-l-glutamate 5-semialdehyde;-0.6371313448920792
citrulline;l-arginine;-0.4537747207773821
citrulline;2-ketobutyric acid;0.6364131633712964
citrulline;l-valine;0.6237586313390651
citrulline;l-threonine;-0.559830419542365
citrulline;2-isopropylmalic acid;0.668094212188953
citrulline;l-tyrosine;0.4825218824997653
citrulline;succinic acid;0.5116810779178916
citrulline;3-(2-hydroxyphenyl)propanoic acid;-0.003459236481031934
citrulline;phenylacetylglutamine;0.046868698775311496
citrulline;l-phenylalanine;0.1448593814140173
citrulline;phenylacetic acid;0.11132291150128563
citrulline;putrescine;0.5570065661144935
citrulline;gamma-glutamylcysteine;0.7295997240545059
citrulline;pyroglutamic acid;0.6755928492367512
citrulline;l-cysteine;-0.28979085627892753
citrulline;quinate;0.4713736620696893
citrulline;l-2,4-diaminobutyric acid;0.06031070430482549
citrulline;glyceric acid;0.4124179371615968
citrulline;choline;-0.09923428605932644
citrulline;4-acetamidobutanoate;0.695537148318473
citrulline;2-oxoarginine;0.015635080623454194
citrulline;l-glutamic gamma-semialdehyde;0.2463856396134356
citrulline;uric acid;0.2262556097963451
citrulline;adenine;0.1903621729951592
citrulline;deoxyinosine;-0.39965482039920247
citrulline;guanine;0.4616828157552527
citrulline;sulfate;-0.03128220958268709
citrulline;hypoxanthine;-0.11684205487886923
citrulline;inosine;-0.27388884314790457
citrulline;d-galactose;0.3769180458778893
citrulline;alpha-d-glucose;0.3653626689923674
citrulline;sucrose;0.02484870827213908
citrulline;taurine;0.6642949990292578
citrulline;acetylphosphate;-0.18806529312875694
ornithine;n-acetylglutamic acid;0.021179478569608404
ornithine;l-aspartic acid;-0.183467482141395
ornithine;n-acetyl-l-glutamate 5-semialdehyde;-0.31600211509057186
ornithine;l-arginine;-0.21729008552230683
ornithine;2-ketobutyric acid;0.37782123007218354
ornithine;l-valine;0.28804896259277635
ornithine;l-threonine;-0.2777480607637937
ornithine;2-isopropylmalic acid;0.34233510224884145
ornithine;l-tyrosine;0.5437317911541328
ornithine;succinic acid;0.7214415424500552
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.1480756220927893
ornithine;phenylacetylglutamine;0.18088927011386136
ornithine;l-phenylalanine;0.049118772172686266
ornithine;phenylacetic acid;0.019442585427558393
ornithine;putrescine;0.4768054282990408
ornithine;gamma-glutamylcysteine;0.31631187000169286
ornithine;pyroglutamic acid;0.6657278740295974
ornithine;l-cysteine;-0.13760488087404565
ornithine;quinate;0.727711073086373
ornithine;l-2,4-diaminobutyric acid;0.028273975888593088
ornithine;glyceric acid;0.47834984308858525
ornithine;choline;0.031808637180471305
ornithine;4-acetamidobutanoate;0.6331807087054373
ornithine;2-oxoarginine;-0.041506455083307726
ornithine;l-glutamic gamma-semialdehyde;0.34009793135388217
ornithine;uric acid;0.37617928055947886
ornithine;adenine;0.5161134547227908
ornithine;deoxyinosine;-0.2753766687205292
ornithine;guanine;-0.02011426202993516
ornithine;sulfate;-0.1147051476359728
ornithine;hypoxanthine;-0.17828128998306544
ornithine;inosine;-0.18385638320404826
ornithine;d-galactose;0.9999530212615102
ornithine;alpha-d-glucose;0.03151225650996409
ornithine;sucrose;-0.18543525068769565
ornithine;taurine;0.5001788182329888
ornithine;acetylphosphate;-0.34546006364604176
n-acetylglutamic acid;l-aspartic acid;-0.25757086834677334
n-acetylglutamic acid;n-acetyl-l-glutamate 5-semialdehyde;-0.14515366198284138
n-acetylglutamic acid;l-arginine;-0.10422829868759273
n-acetylglutamic acid;2-ketobutyric acid;0.34410388190952446
n-acetylglutamic acid;l-valine;0.4460943265469589
