database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L80
CHEBI:16865	C4H9NO2	NCCCC(O)=O	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	gamma-Aminobutyric acid	102.0544375		[M-H]-		78.3031	9606	Homo sapiens										4287014.128	7933518.724	8993140.229	5750524.571	5992472.333	6778732.592	11866254.87	14062590.07	8458010.179	6035612.334	5877203.295	4465644.344	8996161.523	6547640.575	3295500.459	19420002.07	5661116.38	4814552.151	3127128.201	7335540.662	5306569.638	7572676.11	14671485.72	7121303.336	3967322.719	4150718.122	25213325.21	4742632.738	5645930.284	12911909.01	13940673.91	7491858.847	12671177.63	4738630.414	5860240.543	6981034.148	4409263.799	4494917.192	6372178.744	9019096.786	3692808.503	456147.7688	2556110.34	2624147.478	3669877.086	2302557.314	2302823.19	423725.2275	2967927.763	489299.5441	2872484.331	3275481.192	1673233.87	6257186.633	1903423.954	2021433.561	8470670.937	1491384.22	229488.462	617986.3658	20393973.26	10.63188616	10.63188616	10.63188616	10.63188616	499936512.1	123806416.2	16992482.8	46719090.29	6975287.873	31424417.47	28326030.65	7320448.768	13276876.5	17802638.91	7265079.134	13913834.88	3911529.216	993653.8299	4965150.967
CHEBI:27226	C5H4N4O3			Uric acid	168.0230432		[M]-		97.3439	9606	Homo sapiens										13445480.88	1180571.396	31530246.8	27610756.57	9239087.991	10657811.67	1399077.75	1557511.052	12573975.63	964936.3773	3037526.631	11029969.62	26671339.63	13947025.46	16600534.67	4758128.962	41805939.93	5405869.891	1819966.619	53124727.47	16986927.82	29169837.27	26119921.28	7107139.895	13587698.39	6465011.673	1123331.742	13222113.82	6821843.523	2980684.159	20525315.22	31769169.7	1186914.233	34821040.88	13772860	15884431.28	8751338.382	1056610.781	806655.6768	27994117.31	350196616.7	300390941.6	11370227.21	21187079.65	15729050.52	27530117.54	6008538.243	22662071.24	49296632.25	9093232.368	166297985.4	351035825	143592872.3	365036286.1	313959968.7	22768691.61	175000545.5	7705080.865	206585155.5	14953500.1	92061941.45	11801449	6125511.172	3079415.883	134234998.2	1991888.011	171924660.1	154936657.9	63690860.85	74077508.96	184776138.2	171663105.2	71730821.84	257195183.6	128629380.3	110769394.7	180912063.6	335097638.5	310271208.7	69255411.66
CHEBI:17066	C4H8O3	C[C@@H](O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m1/s1	(R)-3-Hydroxybutyric acid	103.0383934		[M-H]-		94.06805	9606	Homo sapiens										182325204	101166601.9	167836383.6	353631705.8	122548134.7	151290048.9	132869305.5	257725307.4	266127773.3	107725276.6	140396970.2	127318329.2	311328521.6	229231267.3	196726494.4	185457406.3	175484886	211263832.9	84452174.7	175928290.9	170926907.8	150031463	138324247.2	174226967.5	153423359.1	118299477.8	258875229.6	89421878.54	129258163.7	371165882.3	135781358.1	156179682	175373465	152867749.9	86745621.67	139909279.6	247840130.1	97665381.77	126237737.5	149191494.9	151543834	166429647.6	97683262.39	127425752	180951670.4	227698086.9	208039709.5	323196950.1	269448179.1	204233928	404796645.2	168063091.1	318206441.8	169645123.1	176935396.9	157591441.9	153241163.9	225157730.7	117104940.8	25323330.33	65896217.43	143833552.8	90928228.4	70728230.57	88245055.83	95725698.9	96991791.07	103676028.6	86110266.94	83898284.36	112693608	99449599.57	99684414.13	99657027.55	100583636.2	210999482.8	141757652.7	123580153.3	131106718.5	344448718.4
CHEBI:15891	C2H7NO3S	C(CS(O)(=O)=O)N	InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)	Taurine	124.0057817		[M-H]-		85.3794	9606	Homo sapiens										53679261.82	54297200.78	55621572.64	50261453.27	62654463.31	46622805.39	77261805.67	68065733.35	46793938.98	55569706.71	77805587.52	43818187.27	76480363.82	49980622.26	46511811.44	82108694.57	38733860.08	59908921.4	26993961.93	77937155.11	42163693.62	51155449.56	70873749.7	42215722.34	49898826.54	34809472.49	95823186.02	51440847.85	40390171.22	47633483.77	105719993.6	33643353.43	78902534.07	28998146	50533381.93	30079476.11	51572731.68	54717059.11	49418401.29	52678642.4	72863471.9	78976106.16	48676682.83	77018754.8	109970699.7	65874114.16	93325937.72	102604815.4	72644231.16	95117580.8	88698085.42	71962122.18	78727126.45	85197115.94	87536989.52	46275645.33	91743338.76	40848869.21	27189553.01	3039100.342	9966449.968	12578698.04	16005907.47	11241054.21	14631545.27	18383069.74	10985765.75	7983167.972	14096346.62	18708656.37	18414757.96	23705888.23	14069896.54	23782866.97	18947629.69	18169696.37	17344779.69	36389878.18	29666742.1	41712083.73
CHEBI:18211	C6H13N3O3	NC(CCCNC(N)=O)C(O)=O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	Citrulline	174.0870028		[M-H]-		90.2471	9606	Homo sapiens										22619790.56	11414200.09	12645812.26	9893493.294	11602785.15	12070222.54	25805449.96	7429375.869	6253861.034	8675933.186	20063885.81	6419299.436	22165363.46	8104141.222	13733802.57	16753193.7	29467760.2	17003546.13	11554135.93	9509659.651	22815892.87	22347136.38	36296152.79	12354312.11	14272048.28	35466632.05	41414385.52	45328008.41	34012268.25	23489995.61	16768667.62	16681569.61	17066933.99	30107817.17	21670115.19	13052940.75	19631958.39	17399015.14	9930930.459	6127459.78	4490790.553	7007959.63	6091627.175	12083068.86	11257195.86	17058421.7	4980337.429	5283367.911	5186529.52	10292535.33	8072792.334	14279808.11	7290204.936	7150800.328	9959951.237	11808461.32	6328417.866	6628211.252	12473876.77	2039514.309	3855941.221	1258177.215	1406819.515	1795095.008	3297227.111	2734065.502	1625127.011	1854211.227	1688866.183	1913746.837	1683300.174	2060726.1	3070275.831	1904238.939	5120333.201	2811325.861	6165084.418	4898838.766	4304118.916	8810838.989
CHEBI:30831	C4H6O3	CCC(=O)C(O)=O	InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)	2-Ketobutyric acid	101.0230529		[M-H]-		89.5499	9606	Homo sapiens										80990047.09	62764821.45	90889943.03	171840884.3	78051143.12	81028852.27	45878259.71	56126637.99	69669302.38	55485088.9	103264894.9	76965157.35	62467591.45	69206588.02	81232822.04	59137847.04	79386780.62	72312704.87	56487886.08	61116607.99	66788738.78	74517271.03	58418824.45	70010225.13	60058104.32	97589182.6	107777395.7	95421143.76	112918727.6	146415242.2	49517704.68	76346749.46	42494799.54	54869535.38	59706618.68	62077144.33	56505155.2	86535254.98	72384028.36	100264909.1	82033526.21	81762203.47	90107209.77	83747831.36	89090430.43	55776324.24	86589215.65	71295218.86	94183169.47	61842700.78	46810829.35	65003091.88	53241534.37	23065130.15	66524921.14	72481010.92	10585032.69	44740330.96	122392300.1	27685630.84	34452013.78	31438438.48	24880392.12	24944208.56	28213078.92	30695480.82	28883520.67	34516093.28	25837618.71	39103096.63	46303786.23	38930216.47	39287743.99	41903716.21	53026093.5	55055773.55	49008525.59	55538824.76	52856987.48	51608839.4
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Hypoxanthine	135.0294364		[M-H]-		148.9425	9606	Homo sapiens										70644392.67	73954515.48	249784589	253170764.9	107750918.2	120469500.5	34855501.54	147000427.6	102960156.9	236693917.3	238656347.1	104476627.9	225827132.2	133282726.6	80462154.66	458491394.2	4641296.056	5045798.519	54774082.98	244670051.2	90705738.83	1588565.557	42831129.99	69762641.11	87407907.11	73475794.41	242463892	861713.8663	1593979.583	64078889.77	126506605.8	39599837.89	167329570	2624022.517	72539972.77	37852251.38	57411789.82	8931451.41	66062204.22	31741981.49	217628026.4	80272108.32	34977327.57	162485647.6	125794503	83697696.94	113583800.6	77438307.05	108273199.5	38820118.73	163941542.8	89628693.17	39025239.24	192953264.8	56150109.47	54347952.66	417875211	38329818.19	27038054.8	1763438.728	29504843.58	36784580	109393542.3	103825129.7	177785025.3	225353658.6	27108575.48	19567809.17	81669121.03	96512831.01	37136385.6	36771448.02	38724548.04	34101477.19	31314841.24	45826805.75	61849765.3	57733432.3	32308409.11	42694223.27
CHEBI:15741	C4H6O4	OC(=O)CCC(O)=O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	Succinic acid	117.0177328		[M-H]-		75.84955	9606	Homo sapiens										34756170.41	40987124.83	35864210.11	52785842.48	38379246.76	24886271.49	56129841.45	82834381.14	38597141.69	36567442.56	42744748.63	30054531.45	42069358.88	49021257.64	42271217.45	86560880.07	36089207.33	31703069.48	29644807.2	40566779.66	34181616.96	27848964.5	62011355.63	40955741.83	33260116.74	36059070.92	102384762.5	39287645.2	26565322.37	135792746.2	126982348	28532695.4	41570762.52	49805454.01	33835486.75	57597436.97	34295769.7	38650669.52	30939837.15	47845522.9	32010315.07	33721512.21	31299569.32	29868114.01	41469683.53	27728768.21	39922571.9	45297067.17	48480116.21	30699822.12	55788129.04	56766476.84	30543099.47	178281976.1	49729063.45	51197168.73	98258909.11	38361631.99	49423238.44	10211851	13405321.47	6668389.74	8153328.044	14491117.43	12723470.02	16228440.53	8016024.459	10260371.33	12609414.57	11362165.07	11665835.72	16520487.52	15227367.32	15490256.55	14295184.7	14738099	18862815.26	15191734.51	27671368.74	16155044.49
CHEBI:16600	C5H6O4	C\C(=C/C(O)=O)C(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2+	Mesaconate	129.0169985		[M-H]-		75.53415	9606	Homo sapiens										30740514.55	27067388.65	22309225.9	31654841.39	27627119.4	25195622.42	28687006.22	37234887.59	23221702.38	21067768.57	28387479.86	24977638.87	27147679.05	29235864.08	31232861.61	34275071.55	33104654.82	27405907.36	25552634.96	22281875.01	20712299.8	15193155.68	30657116.65	24942339.32	27795529.66	22538256.36	25659509.16	41996162.73	22221986.76	31832129.69	31483720.6	30546697.8	28691094.32	23280600.22	23119018.81	21932931.04	25679632.38	23641292.91	28265513.62	23231410.57	32267950.01	32934451.65	34845576.64	41513736.32	30683907.76	32097307.6	38212805.68	52177083.9	46813731.55	34471763.47	51412901.78	62243382.93	32878321.34	65155948.61	67012040.01	50821859.9	56733085.88	45185420.5	34614340.05	3651896.512	17003959.02	11193531.55	14045090.03	15888475.56	16755677.29	19870963.76	22189565.32	23781368.28	19443620.12	17762919.85	26096791.16	24280812.01	22019893.1	22441669.22	14543908.63	22671005.75	17844103.96	26207483.78	30969743.61	21519293.31
CHEBI:27248	C6H6N2O2	[H]C(=C([H])c1c[nH]cn1)C(O)=O	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)	Urocanic acid	137.0347036		[M-H]-		145.432	9606	Homo sapiens										1551330.882	5094022.523	2083027.038	3217545.953	1892055.448	4211021.641	2556335.356	2861056.826	1699499.299	2090558.448	2973673.995	2863353.5	3773097.338	1887275.362	1740634.644	3333106.932	7007218.945	4113718.221	2573183.625	2892903.999	3994329.966	5423002.513	7529750.389	8065868.307	2103065.757	3953834.248	4224902.779	3439749.07	5071696.22	3071294.732	3321248.567	2137552.339	3506104.149	2272011.961	2106455.755	1849114.09	1650773.743	2712890.941	1768439.997	1503679.39	4007202.495	3788886.096	4060377.615	5165812.27	7845610.854	8112979.718	16597102.72	13461571.14	42344558.31	55172452.26	30673580.5	50113984.23	40140395.62	62205619.32	36381118.2	49286776.6	17591112.03	3817008.648	2471721.85	244605.7874	983838.8877	1496481.292	1275285.047	965649.3918	871212.855	1371824.133	905280.8781	1315456.339	910416.0711	1053833.84	1132729.372	1252958.851	7580226.244	1475820.896	1145745.752	1030984.9	1384315.005	1702936.085	1802455.626	2328622.515
